Date,Open,High,Low,Close,Volume
2017-10-16,54.398200,54.525200,53.636000,53.655600,7256893
2017-10-17,53.606700,53.968300,53.049700,53.264700,11227337
2017-10-18,53.215800,54.163700,52.981300,53.948700,8299509
2017-10-19,53.821700,54.273400,53.645800,54.134400,5720179
2017-10-20,54.046400,54.134400,52.937400,53.323300,11741092
2017-10-23,53.518800,53.680000,52.942200,53.030200,10111071
2017-10-24,53.127900,53.313600,52.785900,53.040000,7818490
2017-10-25,53.000900,53.147400,52.434100,52.922700,8281219
2017-10-26,53.254900,54.476400,53.254900,53.655600,12211440
2017-10-27,53.577400,53.860800,53.430800,53.626300,9922611
2017-10-30,53.538300,53.968300,53.157200,53.909600,6430949
2017-10-31,53.899900,54.041500,53.450400,53.587200,8857829
2017-11-01,53.841200,54.320000,53.684900,53.870500,7189764
2017-11-02,53.890100,54.124600,53.518800,53.616500,16879022
2017-11-03,52.922700,55.639200,52.815200,54.750000,28773774
2017-11-06,54.710900,55.394900,54.359100,55.277600,10835659
2017-11-07,55.043100,55.981200,55.043100,55.912800,11167447
2017-11-08,55.727100,56.684700,55.697800,56.587000,13533654
2017-11-09,55.893300,56.342700,55.487700,56.049600,14778867
2017-11-10,56.049600,56.078900,55.248300,55.736900,7930318
2017-11-13,55.512200,55.834600,55.258100,55.346000,7648192
2017-11-14,55.179900,55.697800,55.121300,55.629400,7758215
2017-11-15,55.817300,56.053000,55.512700,55.699400,8880505
2017-11-16,55.915500,56.406700,55.748500,56.229800,8310611
2017-11-17,56.229800,56.416500,55.836900,55.925300,6311519
2017-11-20,55.669900,56.043200,55.581500,55.807400,6360086
2017-11-21,55.954800,56.544200,55.876200,56.249500,6284259
2017-11-22,56.062800,56.170900,55.792700,56.131600,7309073
2017-11-24,56.180700,56.180700,55.709200,55.797600,3479177
2017-11-27,55.827100,55.916200,54.767100,54.923300,10580296
2017-11-28,55.041200,55.719000,54.923400,55.660100,9734431
2017-11-29,55.709200,56.662100,55.699400,56.495100,10017914
2017-11-30,56.622800,57.113900,56.455800,56.799600,11509224
2017-12-01,56.485300,56.691600,55.464600,56.308400,12756391
2017-12-04,56.524600,58.145400,56.485300,57.723000,13302050
2017-12-05,58.204400,58.626800,57.870400,58.292800,11295644
2017-12-06,58.332100,58.774100,58.184700,58.233800,8458198
2017-12-07,58.076700,58.228900,57.724000,58.096300,6033792
2017-12-08,57.487300,57.806500,57.074700,57.575700,9950491
2017-12-11,57.359600,58.302600,57.261300,58.027600,10286560
2017-12-12,57.949000,58.312400,57.831100,58.224000,6042917
2017-12-13,58.391000,58.833100,58.253500,58.440100,7726299
2017-12-14,58.675900,58.990300,58.391000,58.646400,8946111
2017-12-15,58.204400,58.322300,57.131100,57.261300,22595018
2017-12-18,57.408700,57.748600,56.868400,57.005900,8751620
2017-12-19,57.104100,57.541300,56.907700,56.986300,7946435
2017-12-20,57.192600,57.261300,56.671900,56.711200,7188717
2017-12-21,56.917500,57.118900,56.475400,56.563800,5974474
2017-12-22,56.554000,56.888000,56.112000,56.288800,7148723
2017-12-26,56.259300,56.563800,56.043200,56.131600,5546208
2017-12-27,56.180700,56.632600,56.170900,56.259300,4812173
2017-12-28,56.455800,56.976400,56.288800,56.789800,5044505
2017-12-29,56.721000,56.947000,56.406700,56.416500,5365646
2018-01-02,56.927300,57.182700,56.465600,56.613000,7215978
2018-01-03,56.907700,57.919500,56.780000,57.673900,7478356
2018-01-04,57.949000,58.361600,57.693600,57.890000,5775921
2018-01-05,58.204400,58.636600,58.027600,58.558000,6047686
2018-01-08,58.430300,58.617000,57.526600,58.263300,6335782
2018-01-09,58.155300,58.420500,57.821300,58.135600,5233353
2018-01-10,58.941100,59.068800,57.816300,58.764300,8656454
2018-01-11,58.469600,58.960800,58.404900,58.941100,5806282
2018-01-12,59.334100,59.442100,58.597300,59.334100,6989075
2018-01-16,59.265300,60.021700,59.235800,59.491300,8040748
2018-01-17,59.923500,60.247700,59.452000,59.589500,8433771
2018-01-18,60.345900,60.355700,59.663200,60.011900,9170903
2018-01-19,60.129800,60.375400,59.874400,60.178900,8361853
2018-01-22,59.962800,60.385200,59.697600,60.326300,11945783
2018-01-23,60.237800,60.817400,60.061000,60.601300,10806783
2018-01-24,60.424500,60.846900,59.169600,59.756500,11911867
