Date,Open,High,Low,Close,Volume
2017-10-16,158.587200,159.378000,157.229500,157.520100,1092794
2017-10-17,157.386700,159.816300,157.034200,159.206500,1366199
2017-10-18,158.844400,159.682900,156.414900,156.719800,1092686
2017-10-19,156.977000,158.615800,156.405400,157.701100,1518319
2017-10-20,157.691600,157.967900,155.376400,156.938900,1300017
2017-10-23,157.424800,158.339500,156.462500,157.624900,965369
2017-10-24,157.482000,157.910700,155.824200,156.129100,1507729
2017-10-25,155.357300,156.138600,153.470900,155.948000,1220729
2017-10-26,156.433900,157.043700,154.004400,156.024300,1868753
2017-10-27,153.632800,154.342600,146.449000,149.259700,3493759
2017-10-30,149.173900,150.793600,148.764200,150.288600,1371928
2017-10-31,149.964700,150.164800,146.772900,147.992500,2357272
2017-11-01,148.621300,150.279100,147.954400,149.669300,1539811
2017-11-02,149.564500,152.697200,149.335900,151.832100,1690115
2017-11-03,148.983400,150.269600,147.392200,147.678100,2114650
2017-11-06,147.659000,148.059200,146.477600,147.668500,2230319
2017-11-07,147.906700,152.803900,147.354100,151.536800,2481345
2017-11-08,151.574900,152.575300,148.325900,149.612200,2289353
2017-11-09,149.107200,155.776500,149.097700,153.642400,2798265
2017-11-10,155.443100,156.729300,153.985400,156.014700,2832393
2017-11-13,156.538800,157.996500,152.546700,152.737200,2945915
2017-11-14,153.013500,154.185400,152.299000,152.927800,2085878
2017-11-15,152.304200,154.656300,151.340300,153.634500,1726267
2017-11-16,153.142900,154.579100,152.092200,154.106800,1601727
2017-11-17,154.714100,158.251800,154.714100,156.111800,2209554
2017-11-20,155.572000,155.870800,153.200700,153.277800,1440245
2017-11-21,153.248900,153.644100,151.725900,153.412800,1407873
2017-11-22,153.181400,154.280300,152.535600,152.622300,1152246
2017-11-24,153.374200,154.126100,151.812600,152.304200,589498
2017-11-27,152.304200,152.554800,149.749800,150.752300,1377778
2017-11-28,150.549800,150.930600,148.959300,150.492000,2312416
2017-11-29,150.424500,154.212800,149.904000,153.007900,2627293
2017-11-30,153.605600,156.468500,153.133200,155.919000,2655144
2017-12-01,156.352800,156.921500,155.172000,156.497400,1725120
2017-12-04,157.311900,158.280700,156.439600,157.769800,2498753
2017-12-05,158.319300,158.319300,156.227500,156.883000,2010502
2017-12-06,156.989000,158.020400,155.951700,156.892600,1311046
2017-12-07,156.227500,157.249300,155.866000,156.227500,1137931
2017-12-08,156.025100,156.873300,154.943900,156.401000,1423758
2017-12-11,156.449200,157.442100,155.832300,156.410700,1122277
2017-12-12,160.353200,161.269000,157.581900,160.353200,4140471
2017-12-13,160.758100,162.271500,159.244700,159.852000,1878268
2017-12-14,160.015800,161.731700,159.331400,159.659200,1342814
2017-12-15,160.401400,163.013700,160.242400,161.760600,3053308
2017-12-18,162.088300,164.768100,161.847300,163.698100,1688966
2017-12-19,163.727000,164.324700,161.230400,162.348600,1569509
2017-12-20,162.252200,162.907700,157.991500,158.068600,2263533
2017-12-21,158.560300,158.974800,157.895100,158.762700,1098472
2017-12-22,158.560300,161.760600,158.087900,161.047300,2015582
2017-12-26,161.220800,163.862000,160.652000,163.254700,1103036
2017-12-27,163.698100,165.076600,163.033000,164.613900,1617650
2017-12-28,164.681300,165.250100,163.794500,164.980200,994954
2017-12-29,165.144000,166.136900,164.218700,165.548900,1190860
2018-01-02,166.127300,166.782800,164.199400,166.204400,1442874
2018-01-03,165.895900,166.387500,163.727000,165.433200,1849302
2018-01-04,165.307900,165.307900,160.536400,160.594200,2159477
2018-01-05,161.028000,162.299400,160.372500,162.088300,2126503
2018-01-08,162.869100,164.035500,162.271500,163.148700,1874939
2018-01-09,162.820900,163.302900,159.177200,159.562800,1720886
2018-01-10,158.743400,159.167600,156.902300,159.032600,1339538
2018-01-11,159.292900,159.524200,158.145800,158.888000,1494603
2018-01-12,159.061500,159.986900,158.442300,159.543500,1238631
2018-01-16,159.938700,162.040100,158.955500,159.090400,1449412
2018-01-17,159.745900,161.905200,158.685600,161.365400,1699268
2018-01-18,161.008700,161.587100,157.846900,158.328900,1947562
2018-01-19,158.965100,159.326600,157.152900,158.319300,1805213
2018-01-22,158.357800,160.815900,158.155400,160.112200,1751645
2018-01-23,160.912300,163.177600,159.620600,160.333900,2863969
2018-01-24,160.642400,161.134000,158.830200,160.112200,1802212
2018-01-25,159.611000,160.237500,156.738400,158.280700,1476861
2018-01-26,158.907300,159.398900,157.143300,157.808400,1574717
2018-01-29,157.538500,157.885500,155.996200,157.046900,1678637
2018-01-30,156.940800,157.577000,155.446700,156.748000,2145028
2018-01-31,154.203200,157.769800,152.844000,157.480600,3259452
2018-02-01,157.712000,158.888000,153.557400,153.894700,2652727
2018-02-02,153.451300,154.232100,150.087100,150.877600,3166161
2018-02-05,150.067900,153.441700,148.795400,149.528000,2678627
2018-02-06,148.602600,150.463100,146.645800,150.357000,3469694
2018-02-07,150.173900,152.786200,149.181000,149.277400,2055725
2018-02-08,148.824400,151.215000,146.655500,146.694000,2940126
2018-02-09,147.378400,152.757300,145.816800,151.533100,3211691
2018-02-12,151.658400,152.150000,146.867500,151.147500,2338537
2018-02-13,150.880400,152.383800,149.845700,151.788300,1481858
2018-02-14,150.978000,151.339200,147.707800,150.421600,2092528
2018-02-15,150.890200,152.937700,150.197100,152.432600,1692440
2018-02-16,152.295900,153.789500,151.788300,152.374000,1909869
2018-02-20,152.256900,153.652800,151.827300,151.885900,1516642
2018-02-21,151.309900,151.983500,147.678500,147.698000,1657113
2018-02-22,148.420400,152.247100,148.420400,150.363000,1602912
2018-02-23,150.763300,152.930400,150.216600,152.930400,1071009
2018-02-26,153.408800,155.361100,152.774200,155.283100,1451846
2018-02-27,156.298300,157.245200,150.265400,150.265400,1944287
2018-02-28,150.997600,152.110400,149.728500,149.855400,2076066
2018-03-01,149.650400,153.150100,149.250300,151.251400,1655159
2018-03-02,151.085400,152.032300,149.474700,151.817600,1566075
2018-03-05,150.694900,154.892600,150.694900,153.711400,1610266
2018-03-06,153.018300,154.414200,152.315400,153.877300,1472017
2018-03-07,152.950000,154.716900,151.563800,152.208000,1461896
2018-03-08,152.461900,153.311100,151.475900,152.559500,1201691
2018-03-09,152.422800,153.057300,150.480200,152.842600,1376266
2018-03-12,152.989000,154.043300,152.393500,153.008500,2259690
2018-03-13,153.389200,155.478300,152.320300,153.721100,1409061
2018-03-14,154.492300,155.527100,153.281900,154.716900,2498165
2018-03-15,154.746100,155.375800,152.081100,152.871900,1792806
