Date,Open,High,Low,Close,Volume
2017-10-16,32.805100,32.890800,32.448100,32.833600,4041455
2017-10-17,32.405300,32.548000,31.558000,32.329100,5936521
2017-10-18,32.471900,32.681300,32.386200,32.614700,3732155
2017-10-19,32.291000,32.700400,32.226800,32.690800,4362941
2017-10-20,32.890800,33.585700,32.757500,33.262000,8315324
2017-10-23,37.745800,38.935800,35.832400,37.460200,33601239
2017-10-24,37.603000,38.402700,36.660600,36.974700,12140476
2017-10-25,36.622500,36.822400,35.699100,36.317900,7430651
2017-10-26,36.470200,36.765300,35.765700,36.346400,4276256
2017-10-27,36.422600,36.422600,35.075500,35.127900,5297431
2017-10-30,35.175500,35.204100,34.385400,34.918500,5870278
2017-10-31,35.051700,35.918000,34.813700,35.194500,4432597
2017-11-01,35.584800,35.822800,34.899400,35.185000,2784309
2017-11-02,35.194500,35.223100,34.633000,35.004100,2745209
2017-11-03,34.842300,35.204100,34.423400,34.585300,2280056
2017-11-06,34.537700,35.727600,34.337800,35.661000,3186603
2017-11-07,35.632400,35.685700,35.070800,35.337300,2842344
2017-11-08,35.261200,36.365500,34.967000,35.899000,4241354
2017-11-09,35.346900,36.298800,35.346900,35.613400,4349718
2017-11-10,35.413500,36.251200,35.413500,36.165600,3011776
2017-11-13,36.079900,36.118000,35.527700,35.851400,2305647
2017-11-14,35.813300,36.108400,35.537300,35.689600,2598799
2017-11-15,35.546800,36.032300,35.451600,35.994200,3497299
2017-11-16,36.137000,37.388800,36.108400,37.241300,5258404
2017-11-17,37.355500,37.698200,36.917600,37.526900,3154656
2017-11-20,37.450700,38.145700,37.203200,37.936200,3993233
2017-11-21,38.126600,38.687300,38.040900,38.212300,3848063
2017-11-22,38.098100,38.526500,37.907700,38.393200,2364850
2017-11-24,38.421700,38.602600,38.050500,38.355100,1340056
2017-11-27,37.574500,37.793400,36.708200,37.203200,5631717
2017-11-28,37.488800,38.126600,37.089000,38.060000,3809279
2017-11-29,38.031400,38.555000,36.803400,36.889100,6070187
2017-11-30,37.117500,37.279400,36.375000,36.708200,6782523
2017-12-01,36.470200,37.398400,35.461100,37.231800,5125089
2017-12-04,37.850600,38.098100,36.917600,37.317400,4592560
2017-12-05,37.622100,38.031400,37.165100,37.250800,3945577
2017-12-06,37.288900,37.422200,36.708200,37.298400,2520261
2017-12-07,37.279400,38.174200,37.108000,37.679200,3724986
2017-12-08,37.917200,38.664500,37.679200,38.545500,5502052
2017-12-11,38.412200,39.154800,38.240900,38.526500,3740724
2017-12-12,38.716800,40.525600,38.650200,40.097200,6354875
2017-12-13,40.335200,40.597000,39.925900,40.059100,4509096
2017-12-14,40.182900,40.259000,39.830700,39.925900,3301558
2017-12-15,40.173400,40.182900,39.421300,40.002000,6241798
2017-12-18,40.325700,40.996800,40.201000,40.925400,4628927
2017-12-19,40.780500,41.282900,40.519700,40.751500,4553347
2017-12-20,41.002700,41.060700,39.959300,40.123500,3322531
2017-12-21,40.307100,41.089700,40.181500,40.539000,3425256
2017-12-22,40.510000,40.954400,40.481000,40.741900,1713946
2017-12-26,40.568000,41.253900,40.297400,40.712900,2969355
2017-12-27,40.809500,41.051000,40.316800,40.683900,1934643
2017-12-28,40.761200,40.828800,40.326400,40.596900,1368877
2017-12-29,40.587300,40.915800,40.423000,40.423000,1866361
2018-01-02,40.915800,41.679000,40.490700,41.476100,2888378
2018-01-03,41.476100,41.688700,41.041400,41.398800,3446064
2018-01-04,41.418200,41.766000,40.548600,41.196000,2824993
2018-01-05,41.389200,41.534100,41.002700,41.485800,2183179
2018-01-08,47.128000,48.016900,44.075000,44.442200,23460829
2018-01-09,44.905900,45.688500,44.480800,44.819000,10500163
2018-01-10,44.596700,45.669200,44.258600,45.475900,3808752
2018-01-11,45.756100,47.388900,45.514600,47.345400,6246581
2018-01-12,47.456500,50.123000,47.446800,49.524000,7747448
2018-01-16,49.050600,50.562600,48.712500,49.765600,6885254
2018-01-17,49.533700,50.644700,49.167500,50.374200,4113573
2018-01-18,50.432200,50.519100,49.871800,50.248600,3982283
2018-01-19,50.374200,50.982900,49.990100,50.838000,3871209
2018-01-22,50.712400,51.446600,50.277600,51.359700,3591726
