Date,Open,High,Low,Close,Volume
2017-10-16,105.755900,105.889200,104.719700,105.578300,1099204
2017-10-17,105.183500,106.042100,104.759200,105.943500,997495
2017-10-18,106.150700,106.407300,104.334800,105.933600,1043951
2017-10-19,104.019000,104.063400,100.337900,101.966300,3140260
2017-10-20,103.101200,103.930200,102.489300,103.772300,1821575
2017-10-23,104.275600,104.709800,103.101200,103.397300,1505508
2017-10-24,103.357800,104.650600,102.884100,103.831500,1545472
2017-10-25,103.535400,104.601300,102.025500,103.199900,1350161
2017-10-26,103.614400,104.354500,103.377500,104.137400,1020924
2017-10-27,104.897300,106.950100,104.364400,106.496100,2283576
2017-10-30,106.979700,110.828600,106.713200,110.532500,2815215
2017-10-31,110.927300,113.295800,109.976600,112.368200,2809273
2017-11-01,113.019500,113.098400,109.139400,109.861400,2614820
2017-11-02,109.752900,110.433800,107.177100,110.295700,2401382
2017-11-03,112.151000,112.940600,109.693700,111.706900,2758692
2017-11-06,113.730100,116.108500,112.802400,114.805800,6242587
2017-11-07,108.430400,111.756300,106.338200,109.733100,8180259
2017-11-08,109.871300,111.766100,109.417300,111.667500,2773578
2017-11-09,110.246300,111.124700,108.094900,109.664100,2162965
2017-11-10,109.239700,110.019300,108.509400,108.963400,1921682
2017-11-13,107.858000,109.446900,107.147500,108.854800,1203195
2017-11-14,108.479800,110.274900,108.302100,109.752900,1454038
2017-11-15,109.121300,109.121300,105.736200,107.463300,2097552
2017-11-16,108.420600,109.220000,108.104800,108.617900,1459880
2017-11-17,108.904100,109.170600,107.463300,108.558700,1378433
2017-11-20,108.509800,109.410500,108.282200,108.668200,1163547
2017-11-21,109.153200,109.945000,108.688000,109.123500,1638222
2017-11-22,109.064100,109.123500,107.371600,107.431000,1537373
2017-11-24,107.559700,108.727600,107.312200,108.628600,617129
2017-11-27,108.084200,108.094100,106.045300,106.124500,1726607
2017-11-28,106.332300,106.777700,105.147100,106.451100,2073350
2017-11-29,106.104700,106.324400,102.325000,104.253800,2878750
2017-11-30,104.392400,105.184200,103.216400,103.669800,2817898
2017-12-01,102.640400,102.927500,98.701100,101.185500,3225049
2017-12-04,101.898100,101.936000,97.226300,97.256000,3761180
2017-12-05,96.711600,98.562500,94.385700,96.602800,2932845
2017-12-06,94.177800,96.127700,92.099300,95.484300,5396996
2017-12-07,97.147100,97.295600,94.158000,95.692200,3576633
2017-12-08,96.939300,97.295600,94.811300,95.296300,2493811
2017-12-11,95.177500,96.028700,94.900300,95.989100,1937212
2017-12-12,95.256700,96.226600,94.039200,95.484300,2639674
2017-12-13,96.078200,96.503800,94.613300,94.880500,1977730
2017-12-14,94.534100,95.019100,92.643600,93.128600,3554298
2017-12-15,93.544300,94.514300,92.623800,93.663100,3952724
2017-12-18,94.029300,95.256700,93.663100,94.860700,2593478
