Date,Open,High,Low,Close,Volume
2017-10-16,81.494500,81.934200,80.605500,80.840000,1339116
2017-10-17,80.761900,81.089100,80.341800,80.791200,1354233
2017-10-18,81.074500,81.142900,80.556700,80.693500,1789293
2017-10-19,80.595800,81.934200,80.566500,81.650900,1640446
2017-10-20,81.924400,81.924400,81.074500,81.328500,1136562
2017-10-23,81.572700,81.758300,81.221000,81.680200,1301478
2017-10-24,81.484800,81.738800,80.937700,81.641100,846942
2017-10-25,81.514100,81.514100,79.335600,80.361300,2454313
2017-10-26,80.107300,80.107300,78.495400,78.514900,2008971
2017-10-27,78.300000,78.417300,76.297300,76.619700,2285318
2017-10-30,76.395000,77.450100,76.375500,77.127700,1497331
2017-10-31,77.411000,79.091400,77.293800,79.003400,2011939
2017-11-01,79.706800,81.396900,78.397700,79.169500,2502416
2017-11-02,78.886200,78.993600,76.688100,77.254700,2511305
2017-11-03,77.323100,78.456300,77.323100,77.919000,1290328
2017-11-06,77.792000,78.006900,76.815100,77.069100,1233937
2017-11-07,76.824900,77.625900,76.824900,77.059300,1197361
2017-11-08,77.371900,77.967900,76.795600,77.792000,1230227
2017-11-09,77.596600,78.915500,77.596600,78.671200,946567
2017-11-10,78.710300,78.925200,78.251200,78.485600,1292065
2017-11-13,78.309800,79.355100,78.309800,78.974100,982735
2017-11-14,78.641900,79.374600,78.270700,78.661500,861934
2017-11-15,78.641900,80.107300,76.883500,76.971400,1435504
2017-11-16,76.971400,78.328000,76.785900,77.655300,1207029
2017-11-17,77.411000,78.124200,77.059300,77.840900,748818
2017-11-20,77.645500,77.831100,77.225400,77.371900,1184464
2017-11-21,77.577100,78.251200,77.371900,77.489200,872716
2017-11-22,77.772500,77.997200,77.440300,77.704100,1473172
2017-11-24,78.085100,78.085100,77.655300,77.831100,293980
2017-11-27,77.752900,77.889700,77.098400,77.547800,951539
2017-11-28,77.528300,77.831100,76.561100,76.766300,1401896
2017-11-29,76.707300,76.864500,74.880700,75.145900,2000127
2017-11-30,75.136100,76.815400,74.910200,76.697500,2076827
2017-12-01,76.815400,78.209900,76.677900,77.787600,1485853
2017-12-04,78.131300,79.545400,77.591200,79.064200,1587080
2017-12-05,79.250800,79.594500,78.259000,78.877600,1248827
2017-12-06,79.123200,79.918600,78.916900,79.614200,1341099
2017-12-07,78.514300,79.358900,78.425900,78.514300,816454
2017-12-08,78.504500,78.740200,77.601000,78.700900,980217
2017-12-11,78.563400,79.565100,78.263900,79.339200,979191
2017-12-12,78.710700,79.594500,78.651800,78.710700,952831
2017-12-13,78.671400,78.789300,77.787600,78.072400,931450
2017-12-14,78.072400,78.887500,77.856300,77.944700,1062641
2017-12-15,78.150900,79.103500,78.013500,78.367000,2356576
2017-12-18,79.123200,79.967700,79.123200,79.398100,1516023
2017-12-19,79.712400,80.007000,79.182100,79.250800,1522781
2017-12-20,79.221400,79.394400,78.111700,79.142800,1105321
2017-12-21,79.250800,80.095400,79.133000,79.722200,1503646
2017-12-22,79.889200,80.080700,79.427600,79.643600,803132
2017-12-26,79.732000,80.458700,79.692700,80.350700,559036
2017-12-27,80.547100,80.881000,80.173900,80.213200,672235
2017-12-28,80.380200,80.674800,79.967700,80.556900,660417
2017-12-29,80.733700,81.067600,80.537300,80.596200,798746
2018-01-02,80.763200,81.126500,80.173900,80.763200,1135974
2018-01-03,80.439100,80.822100,79.790900,79.987400,1330913
2018-01-04,80.350700,80.969400,80.115000,80.527500,966046
2018-01-05,80.949800,81.578300,80.576600,81.440800,1206458
2018-01-08,81.372000,82.717400,81.077400,82.314800,1591963
2018-01-09,82.373700,82.717400,81.077400,82.128200,1442552
2018-01-10,82.285300,84.220000,82.187100,83.679800,1795025
2018-01-11,83.905700,84.318200,82.854900,82.972800,904066
2018-01-12,83.365600,83.643800,82.982600,83.355800,1191349
2018-01-16,83.512900,83.552200,82.874600,83.198600,1832599
2018-01-17,83.473600,83.837000,82.982600,83.159400,1090904
2018-01-18,83.139700,83.139700,81.607700,81.755000,1719584
2018-01-19,82.010400,82.460600,81.759200,82.265700,1225628
2018-01-22,82.206800,82.609400,81.863100,82.550500,1328662
2018-01-23,82.570100,82.579900,81.696100,81.764900,1047632
2018-01-24,82.079100,82.589800,81.666700,82.383500,884845
2018-01-25,82.393400,82.658500,81.804100,82.285300,905150
2018-01-26,82.167500,82.923700,81.755000,82.874600,978059
2018-01-29,82.619200,83.110300,81.971100,81.980900,805832
2018-01-30,81.951400,82.707600,81.931800,81.980900,979779
2018-01-31,82.187100,82.668300,81.686300,82.511200,1053694
2018-02-01,82.344300,82.403200,81.617500,82.049600,759700
2018-02-02,81.470200,81.597900,79.349000,79.604400,1242601
2018-02-05,78.995500,80.115000,75.961000,76.285100,1763517
2018-02-06,75.597600,77.070400,75.381600,76.579700,2208667
2018-02-07,76.216300,76.805500,74.429000,74.792400,2525070
2018-02-08,75.411000,75.509200,73.162200,73.172000,2568779
2018-02-09,73.496100,73.918300,71.404300,72.877400,2405149
2018-02-12,74.173700,75.303000,73.810300,74.409400,1989488
2018-02-13,74.262100,74.723600,72.779200,74.340600,1669864
2018-02-14,75.862800,79.241000,75.617300,79.005300,3886394
2018-02-15,79.044600,80.390000,77.728700,80.272200,2085987
2018-02-16,80.242700,80.812300,79.437400,80.007000,1706587
2018-02-20,79.604400,79.810600,78.278600,78.317900,1688130
2018-02-21,78.209900,78.916900,77.306400,77.335800,1814880
2018-02-22,77.532300,78.308100,76.599300,77.041200,2067572
2018-02-23,77.227800,77.551900,76.069000,77.247500,1387559
2018-02-26,77.365300,78.052700,75.352100,76.530600,1637416
2018-02-27,76.383300,76.761300,75.195000,75.204800,1301849
2018-02-28,75.636900,75.686000,74.605800,74.880700,1939149
2018-03-01,75.175300,76.127900,74.495300,75.460100,2203112
2018-03-02,75.647700,77.405100,75.342700,77.345900,1982352
2018-03-05,77.099100,77.563100,75.904400,77.039800,2339387
2018-03-06,77.345900,77.908700,76.832500,77.790200,1931208
2018-03-07,77.020100,77.464400,76.753500,77.266900,1151147
2018-03-08,77.691500,79.666100,77.543400,79.527900,2372339
2018-03-09,79.735200,80.110400,79.290900,80.061000,1812607
2018-03-12,80.219000,80.920000,79.547600,79.932700,1534932
2018-03-13,80.376900,80.376900,79.261300,79.439000,1476032
2018-03-14,79.784600,80.189400,79.290900,80.070900,1546774
2018-03-15,79.873400,80.465800,79.873400,80.376900,1884987
2018-03-16,80.643500,80.742300,78.125900,79.172400,3339540
2018-03-19,78.965100,79.251400,78.101200,78.461600,1516630
2018-03-20,78.580000,78.817000,75.825400,75.904400,2532379
2018-03-21,75.884700,76.082100,74.838100,75.085000,2009978
2018-03-22,74.601200,75.124400,73.228800,73.446000,2966628
2018-03-23,73.633600,73.633600,71.155500,71.244300,3167823
2018-03-26,72.073700,73.307800,71.609600,72.972100,2584872
2018-03-27,73.090600,74.097700,72.419200,73.288100,1853421
2018-03-28,73.683000,75.558900,73.455900,74.453100,2369615
2018-03-29,75.134300,75.479900,74.354400,74.374100,1385230
2018-04-02,74.354400,74.502500,71.994700,72.162500,1612955
2018-04-03,72.251400,73.159700,71.708400,72.705500,2390878
2018-04-04,71.886100,73.396700,71.382500,73.159700,3532171
2018-04-05,73.623700,73.771800,72.794400,72.942500,2112084
2018-04-06,72.567300,73.581800,71.846600,72.231600,2270739
2018-04-09,72.389600,73.288100,71.856500,72.251400,1416017
2018-04-10,72.656200,73.179500,72.241500,73.051100,1142679
2018-04-11,72.675900,73.179500,72.587100,72.952400,998637
2018-04-12,73.011600,73.307800,72.468600,72.675900,1358210
