Date,Open,High,Low,Close,Volume
2017-10-16,86.470800,86.854000,86.156300,86.736100,492724
2017-10-17,86.519900,86.706600,85.861600,86.205500,883435
2017-10-18,86.333200,86.461000,85.635500,85.999100,1135789
2017-10-19,85.704300,85.930300,84.908400,85.920500,1057539
2017-10-20,86.323400,87.040700,86.293900,86.932600,1007147
2017-10-23,87.325700,87.374800,86.490400,86.549400,910130
2017-10-24,86.962100,87.659800,86.519900,87.541800,819132
2017-10-25,87.256900,87.718700,86.785200,87.355100,1029596
2017-10-26,87.866100,87.866100,86.765600,87.050500,1456249
2017-10-27,87.207700,87.866100,87.050500,87.866100,966149
2017-10-30,87.915200,88.151100,87.473100,87.944700,1259149
2017-10-31,87.944700,89.585700,87.866100,89.389200,1770256
2017-11-01,91.246300,91.492000,88.662000,90.273500,2479585
2017-11-02,90.656700,91.285500,89.851000,89.978700,1065209
2017-11-03,90.194900,91.177500,89.026600,91.118600,1222933
2017-11-06,90.558500,92.052100,90.519200,91.354400,1436211
2017-11-07,91.472300,91.668900,91.010500,91.609900,1178106
2017-11-08,91.492000,92.120900,91.275800,92.071700,1117453
2017-11-09,91.482200,92.120900,90.784500,91.305300,1354857
2017-11-10,91.845700,91.973500,91.256100,91.904700,1022471
2017-11-13,91.472300,92.096300,91.226700,91.737600,1534442
2017-11-14,91.157900,92.199500,91.079300,92.189600,1407169
2017-11-15,91.609900,91.659000,90.833600,91.157900,1284470
2017-11-16,91.786800,93.707800,91.678700,93.496500,1891245
2017-11-17,93.378600,93.712700,92.970800,93.388400,2994727
2017-11-20,93.653700,94.479200,93.398300,94.223700,1500617
2017-11-21,94.705200,94.999900,93.712700,94.282600,1708852
2017-11-22,94.361600,94.549000,93.049200,93.256400,1698225
2017-11-24,93.651100,94.213600,93.335400,93.996500,685596
2017-11-27,94.065500,94.213600,92.980100,93.542600,1572642
2017-11-28,93.887900,94.558900,93.503100,94.430600,1585249
2017-11-29,94.598400,94.598400,92.447400,92.999900,1683773
2017-11-30,93.394600,93.700500,92.970300,93.187300,2316023
2017-12-01,93.049200,93.118300,90.276500,92.486800,2406005
2017-12-04,93.217000,93.256400,91.638200,91.638200,1624160
2017-12-05,91.914500,92.210500,91.235700,91.332300,1642274
2017-12-06,91.085600,91.440800,90.779700,91.056000,1989051
2017-12-07,91.421100,92.901200,91.421100,92.644600,1798419
2017-12-08,93.562300,94.233300,93.217000,93.562300,2090429
2017-12-11,93.414300,94.134600,93.365000,93.779400,1405202
2017-12-12,94.381300,94.825300,93.606700,94.381300,2005440
2017-12-13,94.608200,94.805600,93.305800,94.006300,1794783
2017-12-14,94.499700,95.496300,94.233300,94.243200,1396892
2017-12-15,94.785900,95.200300,94.223400,94.943700,2949496
2017-12-18,95.634500,95.881100,94.529300,94.716800,1522250
2017-12-19,94.924000,95.210200,94.558900,94.637900,1410133
2017-12-20,95.170700,95.289100,94.529300,94.953600,1184570
2017-12-21,95.279200,95.338400,94.243200,94.272800,855893
2017-12-22,94.381300,94.470100,93.039300,93.690600,1008372
2017-12-26,93.513000,94.835200,93.088700,93.996500,1192568
2017-12-27,94.006300,94.174100,93.315600,93.927400,1118753
2017-12-28,94.134600,94.203700,93.552400,93.976700,1009718
2017-12-29,94.203700,94.302400,93.779400,93.779400,879343
2018-01-02,94.440500,94.440500,92.990000,94.055700,1805738
2018-01-03,94.154400,95.881100,93.838600,95.644300,1812273
2018-01-04,96.048900,96.621200,95.555500,96.088400,1399073
2018-01-05,96.779100,98.377600,96.537300,98.278900,2318337
2018-01-08,97.499400,98.574900,97.499400,98.486100,1609073
2018-01-09,98.426900,98.614400,97.410600,97.509300,1630500
2018-01-10,97.351400,97.351400,96.571900,97.213200,2254106
2018-01-11,97.450000,98.081600,97.223100,97.943400,1199953
2018-01-12,98.081600,99.366300,97.805300,98.841300,1501120
2018-01-16,99.236000,99.665300,98.318400,98.782100,1977643
2018-01-17,99.389000,99.541900,98.870900,99.236000,1683721
2018-01-18,99.364300,99.709700,98.471300,98.644000,2215728
2018-01-19,99.393900,100.208000,99.048600,99.393900,2095131
2018-01-22,99.226200,99.916900,98.703200,99.916900,1645652
2018-01-23,100.183300,100.578000,99.255800,99.364300,1988961
2018-01-24,106.666200,106.794400,100.824700,101.031900,4131417
2018-01-25,101.426600,104.080900,100.913500,101.278600,2643995
2018-01-26,101.880500,103.666500,101.367400,102.965900,2321353
2018-01-29,102.127200,103.834200,102.127200,102.502100,2693861
2018-01-30,101.811400,101.929800,100.745700,100.972700,1941268
2018-01-31,101.535100,101.702900,100.696500,101.170000,2907350
2018-02-01,100.923400,103.133600,100.834600,102.403500,1939346
2018-02-02,101.949600,102.758700,100.696400,100.824700,2801881
2018-02-05,99.857700,101.693000,97.410600,97.410600,2188977
2018-02-06,95.851500,98.584800,94.726700,97.825000,3189465
2018-02-07,97.548700,100.252400,97.114600,98.288800,1996806
2018-02-08,98.407200,98.644000,93.927400,94.006300,1887700
2018-02-09,94.993100,95.950200,91.253300,95.121400,2892536
2018-02-12,95.960100,97.953300,95.624600,97.390800,2201810
2018-02-13,96.719900,97.805300,96.502800,97.479700,1087032
2018-02-14,96.719900,98.653900,96.685300,98.417100,1512900
2018-02-15,99.038700,100.074800,98.486100,100.055000,1470340
2018-02-16,99.788600,101.466100,99.255800,100.745700,1706916
2018-02-20,100.114200,101.853500,99.857700,101.150300,1264063
2018-02-21,101.475900,102.778400,100.795100,100.814800,1384828
2018-02-22,101.062500,101.216000,99.774700,100.071900,1355496
2018-02-23,100.725700,101.359700,100.369000,101.310100,759198
2018-02-26,101.944100,103.618300,101.518200,103.459800,1179043
2018-02-27,103.410200,105.005100,103.331000,103.410200,1380298
2018-02-28,103.598400,104.351300,102.092700,102.122400,1456791
2018-03-01,102.053100,102.479100,98.991100,99.140700,2264686
2018-03-02,98.377900,100.577100,98.001500,100.428500,1397106
2018-03-05,100.052000,101.102100,98.645400,100.636500,1654583
2018-03-06,101.191300,101.825200,100.626600,100.973300,993248
2018-03-07,99.873700,101.458700,99.665700,101.211100,2248281
2018-03-08,101.686600,101.954000,101.062500,101.864900,1544246
2018-03-09,102.350300,104.797100,102.162100,104.757500,1497373
2018-03-12,104.628700,104.896100,103.608400,104.252300,1430441
2018-03-13,104.678200,104.816900,103.400300,103.638100,1216072
2018-03-14,104.014500,104.014500,102.370200,102.954500,1066830
2018-03-15,102.865400,104.093800,102.181900,103.529100,1221085
2018-03-16,103.648000,104.242300,102.994200,103.459800,1388386
2018-03-19,103.222000,103.231900,101.280400,102.399800,1110394
2018-03-20,102.766300,104.182900,102.716800,103.558800,1282168
2018-03-21,103.628200,105.005100,103.212100,103.697500,873329
2018-03-22,102.528600,102.924800,99.437900,99.546800,1450001
2018-03-23,99.943100,99.943100,95.792400,95.931100,1723737
2018-03-26,97.308000,98.189700,96.287700,98.031200,1403649
2018-03-27,98.952500,99.794500,96.337200,96.882100,1869029
2018-03-28,97.060400,97.347700,95.168300,95.435800,1566751
2018-03-29,96.416500,99.749900,96.178700,98.962400,1906988
2018-04-02,98.407600,98.536400,94.900900,96.000400,1265712
2018-04-03,96.466000,97.446700,95.733000,97.377400,1448495
2018-04-04,95.673500,97.575500,95.366400,97.417000,1478147
2018-04-05,98.051000,98.397700,97.278300,97.862800,1053167
2018-04-06,96.792900,97.109900,93.880500,95.009800,1162085
2018-04-09,95.841900,97.159500,95.128700,95.346600,1805806
2018-04-10,97.030700,98.744400,96.882200,98.229300,2305807
2018-04-11,97.426900,98.833600,97.248600,97.793400,1987624
2018-04-12,98.249100,98.982200,97.803400,98.169900,3376781
2018-04-13,98.734500,99.031700,97.961800,98.437300,1370534
2018-04-16,99.190200,99.190200,98.189700,98.685000,1208296
2018-04-17,99.715200,100.349200,99.076300,99.903500,2082944
2018-04-18,100.904000,101.686600,100.626600,101.221000,1395884
2018-04-19,100.517600,100.636500,99.418100,100.101600,1836142
2018-04-20,100.398800,100.438400,99.011900,99.319000,1653537
2018-04-23,99.566600,100.260100,98.704800,99.071300,1301135
2018-04-24,99.695400,100.081800,95.742900,96.822600,2225199
2018-04-25,94.573900,95.604200,92.345100,93.494200,3005898
2018-04-26,93.771600,94.227200,92.711600,92.810700,2336621
2018-04-27,92.830500,93.504100,91.849800,92.355000,2383368
2018-04-30,92.592700,92.919600,90.888900,90.888900,1860570
2018-05-01,90.502500,90.968100,89.883400,90.938400,2259233
2018-05-02,91.047400,92.142000,90.770000,90.938400,2503953
2018-05-03,90.819500,91.126600,89.591200,90.789800,1700112
2018-05-04,90.225200,91.958700,90.195400,91.562500,1492991
2018-05-07,91.780400,92.731400,91.493100,92.067700,1584376
2018-05-08,91.641700,92.345100,91.641700,92.047900,1829478
2018-05-09,92.632300,92.959200,91.859700,92.582800,2380016
2018-05-10,93.117700,93.563500,92.622400,93.395100,1528863
2018-05-11,93.523900,94.514500,93.256400,93.692300,1376887
2018-05-14,94.088500,94.534300,93.771600,94.157900,1434457
2018-05-15,93.375300,94.070200,93.375300,93.989500,1396339
2018-05-16,93.979600,94.920700,93.712100,94.415500,1023860
2018-05-17,94.207400,95.158400,93.920100,94.534300,1411300
2018-05-18,94.633400,94.633400,93.855500,94.266900,2619729
2018-05-21,95.287200,95.742900,94.851300,95.029600,1216329
2018-05-22,95.168300,95.485300,93.959800,94.019200,1556427
2018-05-23,93.504100,94.108400,92.959200,94.058800,1133061
2018-05-24,93.969300,94.641000,93.332300,93.869700,1400395
2018-05-25,93.630900,93.969300,93.193000,93.670700,758479
2018-05-29,92.854600,93.302500,91.600600,92.546100,1595679
2018-05-30,93.302500,94.148400,92.984000,93.501500,1173238
2018-05-31,93.312400,93.720500,92.539000,92.635700,3450892
2018-06-01,93.521400,94.407200,93.023800,94.138400,1280386
2018-06-04,94.546500,94.874900,94.098600,94.228000,1372320
2018-06-05,94.337500,95.004300,93.889600,94.954500,1671013
2018-06-06,95.004300,96.994700,94.735700,96.994700,1970453
2018-06-07,97.432600,97.432600,96.357800,97.044500,1703870
2018-06-08,96.636500,97.034600,96.323000,96.785700,1293824
2018-06-11,96.925100,97.412700,96.407600,96.736000,1703785
2018-06-12,96.885300,97.044500,96.377700,97.024600,1300934
2018-06-13,97.024600,97.263500,96.407600,96.676300,1370551
2018-06-14,97.363000,99.044900,96.974800,98.835900,1692029
2018-06-15,98.517400,98.597100,97.323200,98.527400,1684286
2018-06-18,97.721300,97.950200,96.736000,97.810800,1170959
2018-06-19,96.865400,96.964900,95.193400,96.268200,1646462
2018-06-20,96.606600,96.710600,95.959700,96.178700,1082329
2018-06-21,96.109000,96.457300,94.815200,95.044100,1878550
2018-06-22,95.701000,95.701000,94.546500,94.675900,1798616
2018-06-25,94.297700,94.367300,92.615800,93.392000,1874641
2018-06-26,93.620900,94.108600,93.163100,93.501500,1286142
2018-06-27,93.511500,94.218100,91.312000,91.381700,1617265
2018-06-28,91.003500,91.003500,88.286500,89.023000,3179699
2018-06-29,89.052800,90.197400,88.654800,89.630100,3620204
2018-07-02,88.644800,90.127700,87.988900,90.058000,1671149
2018-07-03,90.466100,91.003500,89.162300,89.261800,815359
2018-07-05,89.878900,90.824300,88.983200,90.824300,1521868
2018-07-06,90.714900,91.172700,89.988400,90.784500,986003
2018-07-09,91.779800,92.451500,90.854200,92.327100,1140674
2018-07-10,92.466500,93.222800,92.048500,93.093500,1044378
2018-07-11,92.157900,92.157900,90.695000,90.804400,989242
2018-07-12,91.421500,92.177900,91.381700,91.740000,1630153
2018-07-13,91.550900,92.008700,91.262200,91.411500,1004692
2018-07-16,91.650400,91.650400,90.585500,90.824300,572821
2018-07-17,90.575500,92.058400,89.918700,91.899200,1898119
2018-07-18,92.307200,92.516200,91.690200,92.008700,1410493
2018-07-19,91.660300,92.426700,91.491100,91.879300,758196
2018-07-20,91.531000,91.799700,91.103000,91.252300,849558
2018-07-23,91.122900,91.401600,90.520800,91.262200,1369672
2018-07-24,91.909100,93.979200,91.909100,93.551300,2819955
2018-07-25,90.386400,93.849800,89.610200,93.541300,4421718
2018-07-26,93.939400,95.332700,93.431800,93.810000,2991950
2018-07-27,93.810000,94.670900,93.083500,93.551300,1909212
2018-07-30,93.720500,94.247900,92.725200,92.794900,1999045
2018-07-31,93.362200,93.979200,92.864600,93.123300,3044505
2018-08-01,93.103400,93.720500,91.531000,92.217700,1959498
2018-08-02,91.501100,92.765000,91.093100,92.068400,1548725
2018-08-03,92.068400,92.715300,91.919100,92.645600,1243267
2018-08-06,92.556000,93.620900,92.556000,93.581100,1023673
2018-08-07,94.168300,94.914700,93.939400,94.466900,1567957
2018-08-08,94.257900,94.576300,93.670700,94.257900,974377
2018-08-09,94.287700,94.765400,93.013800,93.202900,1391395
2018-08-10,92.237600,92.237600,91.292100,91.710100,1648570
2018-08-13,91.998700,93.053700,91.580700,91.929000,1425253
2018-08-14,92.008700,93.033700,91.710100,92.794900,1159806
2018-08-15,92.038500,92.267400,91.252300,92.058400,1277142
2018-08-16,92.715300,93.292500,92.217700,92.347000,1064289
2018-08-17,92.267400,92.605800,91.899200,92.506300,2747763
2018-08-20,92.695400,93.620900,92.695400,93.322400,2366162
2018-08-21,93.521400,94.128500,92.954100,93.173100,1226393
2018-08-22,92.406800,92.426700,90.963700,91.730000,2700368
2018-08-23,91.550000,91.870000,90.650000,90.980000,1682255
2018-08-24,91.320000,91.670000,90.680000,91.540000,1328697
2018-08-27,91.850000,92.940000,91.850000,92.590000,1219105
2018-08-28,93.170000,93.170000,92.300000,92.490000,1742206
2018-08-29,92.500000,92.595000,91.930000,92.000000,1779409
2018-08-30,91.710000,91.930000,90.970000,91.370000,3169618
2018-08-31,91.150000,91.810000,90.980000,91.680000,2220978
2018-09-04,91.690000,91.690000,90.190000,90.350000,1771935
2018-09-05,90.260000,91.080000,89.830000,90.610000,2271761
2018-09-06,90.190000,90.560000,89.410000,89.600000,1927920
2018-09-07,89.480000,90.360000,89.100000,90.320000,2063569
2018-09-10,90.970000,91.390000,90.680000,91.150000,1276307
2018-09-11,90.700000,91.070000,90.080000,90.890000,1314621
2018-09-12,90.780000,91.090000,90.080000,90.730000,1153053
2018-09-13,91.000000,92.160000,90.890000,91.730000,1609572
2018-09-14,91.740000,92.140000,91.270000,91.770000,1460303
2018-09-17,92.480000,92.710000,91.700000,91.880000,2282655
2018-09-18,91.700000,91.870000,88.840000,89.760000,2313796
2018-09-19,90.060000,92.400000,89.540000,92.060000,2172107
2018-09-20,92.750000,93.000000,92.130000,92.630000,1710317
2018-09-21,93.330000,93.870000,92.430000,92.610000,3198251
2018-09-24,91.780000,92.135000,89.590000,90.580000,1818168
2018-09-25,90.260000,90.260000,88.860000,89.380000,2148355
2018-09-26,89.190000,89.590000,88.720100,88.990000,1508133
2018-09-27,89.070000,89.260000,88.010000,88.090000,1993074
2018-09-28,87.740000,88.620000,87.370000,87.930000,2119264
2018-10-01,86.910000,87.610000,85.840000,86.830000,2775241
2018-10-02,86.630000,87.530000,86.570000,86.910000,2545562
2018-10-03,86.890000,87.780000,85.500000,86.800000,1702414
2018-10-04,86.830000,86.870000,85.330000,86.160000,1565464
2018-10-05,85.770000,86.379000,83.840000,84.190000,1915646
2018-10-08,84.080000,84.400000,83.060000,83.990000,2040742
2018-10-09,83.970000,84.050000,82.020000,82.380000,3562221
2018-10-10,82.370000,82.400000,80.370000,80.880000,5172923
2018-10-11,80.990000,81.390000,78.590000,78.660000,2532925
2018-10-12,79.580000,80.080000,77.700000,78.910000,1879337
