Date,Open,High,Low,Close,Volume
2017-10-16,124.509500,126.748800,124.089100,125.966500,1765934
2017-10-17,125.595000,126.005700,124.675800,125.800300,1808224
2017-10-18,125.849200,127.276900,125.624300,127.140000,1991720
2017-10-19,126.905300,130.220200,125.399400,130.220200,2970858
2017-10-20,131.031800,131.139400,129.594400,130.366900,1838805
2017-10-23,130.767800,131.491400,129.936600,131.471800,1790192
2017-10-24,131.070900,131.422900,129.780200,130.239700,1712252
2017-10-25,130.425500,130.484200,128.831600,128.861000,1628943
2017-10-26,129.780200,129.946400,127.853800,129.017400,1490813
2017-10-27,128.636100,128.763200,127.169300,128.156900,1602413
2017-10-30,128.186300,129.936600,127.902700,129.682400,1579156
2017-10-31,129.545500,130.005100,129.286300,129.516100,1499914
2017-11-01,131.012200,131.061100,129.692100,130.513500,1749583
2017-11-02,130.963300,132.703900,130.014800,131.706500,2167884
2017-11-03,131.471800,131.745600,129.926800,130.366900,1088837
2017-11-06,130.591800,130.816700,129.877900,130.484200,734987
2017-11-07,131.012200,131.755400,130.454900,130.758000,1495235
2017-11-08,130.914500,131.569600,130.484200,130.562400,1564993
2017-11-09,130.171300,132.087900,129.506400,131.550100,1353139
2017-11-10,131.041600,132.655000,130.396200,132.537700,2107103
2017-11-13,132.166100,132.439900,130.249500,130.366900,2742672
2017-11-14,129.907300,131.012200,128.773000,130.894900,1812206
2017-11-15,130.171300,131.227000,129.809500,130.748200,1837857
2017-11-16,130.425500,130.601500,127.762800,127.912500,2375761
2017-11-17,127.775600,127.892900,126.846600,127.042200,2372061
2017-11-20,127.061700,127.336500,125.937200,126.895500,1565634
2017-11-21,127.452900,128.127600,127.140000,127.736400,1128605
2017-11-22,127.580000,127.873300,126.846600,127.130200,779723
2017-11-24,127.149700,127.374600,126.729300,126.954200,305358
2017-11-27,126.905300,127.990700,126.787900,127.589800,1349460
2017-11-28,127.404000,130.239700,127.120400,130.063700,1821343
2017-11-29,130.816700,132.039000,130.112600,131.550100,1772302
2017-11-30,132.215000,133.456900,130.860700,132.567000,2193898
2017-12-01,133.241700,133.417700,131.129600,133.192800,2549590
2017-12-04,133.398200,134.894300,132.801700,133.339500,2187969
2017-12-05,132.616000,134.209800,132.127000,132.322600,1464026
2017-12-06,132.713700,133.134200,132.117200,132.361700,1044778
2017-12-07,131.814100,132.141700,130.982900,131.237100,1081234
2017-12-08,131.502600,131.551700,130.568600,131.492800,1085281
2017-12-11,131.659900,131.728700,130.303200,130.912700,1068738
2017-12-12,132.082600,132.328400,130.524400,132.082600,1405529
2017-12-13,132.102300,132.102300,130.971700,131.306000,1328622
2017-12-14,131.738500,131.905700,129.625800,130.342500,1278685
2017-12-15,130.981500,133.060800,130.666900,132.613500,3170654
2017-12-18,133.311500,134.973000,132.416900,132.928100,1692799
2017-12-19,133.714600,134.304500,132.652800,133.252500,1393041
2017-12-20,134.147200,134.147200,132.525000,132.977300,1070160
2017-12-21,133.586800,133.901400,129.221700,132.171100,937446
2017-12-22,132.426700,132.584000,131.650100,132.122000,879374
2017-12-26,132.623400,133.321300,131.895800,132.505400,564742
2017-12-27,132.652800,132.859300,132.023600,132.495500,945416
2017-12-28,132.967400,133.409800,132.515200,133.370500,698740
2017-12-29,133.724400,134.186500,132.996900,133.350900,827560
2018-01-02,133.999700,133.999700,129.241400,129.752600,2388813
