Date,Open,High,Low,Close,Volume
2017-10-16,16.180000,16.373400,16.100000,16.250000,2175337
2017-10-17,16.230000,16.540000,16.130000,16.310000,2892640
2017-10-18,16.320000,16.440000,16.190100,16.330000,3199604
2017-10-19,16.220000,16.520000,16.140000,16.450000,2325184
2017-10-20,16.550000,17.610000,16.530000,17.480000,8794405
2017-10-23,17.340000,17.475000,16.800000,16.850000,9030574
2017-10-24,16.830000,16.830000,16.150000,16.300000,6257678
2017-10-25,16.200000,16.390000,15.750000,16.010000,7618438
2017-10-26,16.010000,16.490000,15.820000,16.380000,6011808
2017-10-27,16.150000,16.425000,16.000000,16.040000,7746256
2017-10-30,15.640000,16.680000,15.525000,16.410000,12737547
2017-10-31,14.200000,14.440000,12.480000,12.520000,45603168
2017-11-01,12.470000,12.947500,11.980000,12.050000,27890472
2017-11-02,12.100000,12.200000,11.450000,11.780000,19193796
2017-11-03,11.760000,11.810000,11.510000,11.610000,10361850
2017-11-06,11.560000,12.100000,11.400000,12.020000,7284180
2017-11-07,12.180000,12.300000,11.780000,11.880000,7688400
2017-11-08,11.840000,11.990000,11.670000,11.970000,4825028
2017-11-09,11.980000,12.280000,11.740000,12.010000,9477819
2017-11-10,12.000000,12.540000,11.910000,12.520000,7865130
2017-11-13,12.500000,12.660000,12.060000,12.170000,5852810
2017-11-14,12.140000,12.220000,11.881000,12.150000,4691123
2017-11-15,12.070000,12.510000,11.950000,12.410000,4656827
2017-11-16,12.430000,12.800000,12.150000,12.760000,5012211
2017-11-17,13.030000,13.280000,12.990000,13.080000,8047458
2017-11-20,13.080000,13.460000,13.020000,13.440000,5638205
2017-11-21,13.450000,13.500000,12.750000,12.850000,6629162
2017-11-22,12.890000,13.200000,12.730000,13.090000,3745254
2017-11-24,13.140000,13.249900,12.915000,12.990000,1945428
2017-11-27,13.000000,13.122500,12.620000,12.680000,4111426
2017-11-28,12.750000,12.960000,12.600000,12.880000,3532743
2017-11-29,12.960000,13.650000,12.960000,13.570000,6597181
2017-11-30,13.560000,13.880000,13.220000,13.290000,5234956
2017-12-01,13.300000,13.310000,12.815000,13.150000,5880022
2017-12-04,13.330000,13.490000,13.280000,13.350000,4369975
2017-12-05,13.380000,13.450000,12.990000,13.010000,3311401
2017-12-06,13.050000,13.080000,12.730100,12.890000,3375003
2017-12-07,12.910000,13.440000,12.900000,13.280000,3626259
2017-12-08,13.310000,13.690000,13.160000,13.630000,4822153
2017-12-11,13.520000,13.640000,13.350000,13.500000,3726286
2017-12-12,13.590000,13.720000,13.380000,13.590000,3238197
2017-12-13,13.610000,13.720000,13.450000,13.620000,3057222
2017-12-14,13.710000,13.880000,13.520000,13.820000,4837588
2017-12-15,14.180000,15.330000,14.160000,15.170000,14746466
2017-12-18,15.210000,15.710000,14.930000,15.650000,8767372
2017-12-19,15.750000,15.750000,15.360000,15.430000,3594879
2017-12-20,15.380000,15.470000,15.040000,15.170000,3931157
2017-12-21,15.250000,15.560000,15.050000,15.510000,4420027
2017-12-22,15.320000,15.540000,15.010000,15.500000,4469217
2017-12-26,15.400000,15.760000,15.340000,15.660000,2999760
2017-12-27,15.720000,16.190000,15.700000,15.730000,4952982
2017-12-28,15.720000,15.800000,15.490000,15.520000,5251802
2017-12-29,15.490000,15.582000,14.390000,14.430000,16334353
2018-01-02,14.590000,15.060000,14.430000,15.030000,8035215
2018-01-03,15.090000,15.810000,15.090000,15.720000,6079886
2018-01-04,15.760000,16.065000,15.490000,15.920000,4676182
2018-01-05,16.170000,16.850000,15.800000,15.870000,9093567
2018-01-08,15.900000,16.280000,15.710000,15.980000,4671509
2018-01-09,15.170000,15.720000,15.015000,15.110000,7789550
2018-01-10,15.020000,15.210000,14.850000,15.060000,4601789
2018-01-11,15.150000,15.580000,15.070000,15.300000,4873423
2018-01-12,15.460000,15.600000,15.000000,15.120000,4627816
2018-01-16,14.660000,14.880000,13.600000,13.810000,13422383
2018-01-17,13.880000,13.950000,13.545000,13.830000,5894100
2018-01-18,13.850000,13.850000,13.481000,13.700000,5847813
2018-01-19,13.710000,14.230000,13.700000,14.210000,5663484
2018-01-22,14.040000,14.570000,13.910000,14.550000,4124868
2018-01-23,14.500000,15.020000,14.500000,14.990000,14081683
2018-01-24,14.890000,15.100000,14.585000,14.930000,4902896
2018-01-25,15.050000,15.060000,14.480000,14.570000,6674571
