Date,Open,High,Low,Close,Volume
2017-10-16,145.890000,146.670000,144.450000,145.790000,1203988
2017-10-17,145.430000,145.630000,143.010000,143.340000,1525591
2017-10-18,144.070000,144.600000,142.160000,144.320000,1922436
2017-10-19,144.800000,147.600000,140.940000,144.400000,2955807
2017-10-20,144.810000,146.690000,144.030000,144.400000,2525019
2017-10-23,144.440000,144.642500,141.200000,141.480000,1372425
2017-10-24,142.450000,145.500000,142.180000,143.940000,1420408
2017-10-25,143.250000,144.100000,138.190000,138.910000,2508062
2017-10-26,139.750000,142.225000,139.300000,141.240000,2020988
2017-10-27,141.340000,146.060000,141.340000,145.940000,1365757
2017-10-30,145.320000,146.720000,143.250000,143.590000,1256862
2017-10-31,143.600000,144.820000,141.230000,141.480000,1329063
2017-11-01,143.339000,144.590000,142.600000,143.670000,1147428
2017-11-02,143.370000,146.870000,143.000000,145.580000,1026466
2017-11-03,145.090000,146.000000,144.460000,144.710000,708200
2017-11-06,145.260000,148.520000,145.120000,148.400000,1092399
2017-11-07,148.400000,149.450000,146.560000,147.550000,765036
2017-11-08,146.920000,148.840000,146.500000,148.740000,917616
2017-11-09,146.000000,147.390000,143.050000,145.090000,1045045
2017-11-10,144.950000,146.980000,144.950000,146.310000,743269
2017-11-13,145.190000,145.720000,143.580000,144.610000,1313855
2017-11-14,143.750000,146.170000,143.750000,144.870000,1112907
2017-11-15,143.970000,144.850000,141.360000,143.380000,1058553
2017-11-16,145.000000,148.560000,143.650000,148.360000,1648929
2017-11-17,147.750000,151.145000,147.432500,150.090000,1607283
2017-11-20,149.750000,152.760000,149.750000,151.500000,1027101
2017-11-21,152.100000,155.000000,152.000000,153.690000,1318804
2017-11-22,154.610000,154.960000,152.500000,153.270000,1053260
2017-11-24,153.610000,155.450000,152.160000,153.160000,768115
2017-11-27,152.880000,154.740000,152.370000,153.360000,1004909
2017-11-28,154.020000,156.800000,153.180000,156.600000,862976
2017-11-29,156.000000,158.679900,155.190000,157.840000,1183980
2017-11-30,158.480000,161.350000,158.040000,159.480000,1467039
2017-12-01,159.070000,159.450000,151.300000,157.090000,1735795
2017-12-04,160.220000,163.920000,159.730000,159.750000,1313172
2017-12-05,159.750000,161.580000,158.200000,159.190000,918228
2017-12-06,158.190000,159.630000,156.850000,158.280000,606437
2017-12-07,158.220000,163.160000,157.860000,162.380000,966111
2017-12-08,163.740000,165.180000,162.772500,164.000000,1094837
2017-12-11,164.530000,165.650000,163.120000,163.820000,949358
2017-12-12,163.650000,165.850000,163.160000,163.650000,832302
2017-12-13,162.990000,165.700000,160.370000,163.810000,948214
2017-12-14,163.820000,165.300000,160.950000,161.170000,990977
2017-12-15,162.800000,165.600000,162.340000,164.290000,1225904
2017-12-18,165.980000,169.050000,165.560000,168.570000,1292010
2017-12-19,169.370000,170.327000,165.020000,166.380000,1390067
2017-12-20,167.990000,169.020000,165.730000,168.300000,1419074
2017-12-21,169.690000,170.740000,167.650000,170.470000,1090348
2017-12-22,170.470000,171.320000,168.220000,169.490000,574958
2017-12-26,169.000000,171.830000,168.990000,170.610000,749716
2017-12-27,170.470000,172.220000,170.020000,171.470000,611021
2017-12-28,172.380000,173.470000,171.030000,173.330000,801869
2017-12-29,173.790000,174.400000,171.780000,171.910000,624486
2018-01-02,172.920000,173.960000,171.697000,173.580000,813322
2018-01-03,174.450000,175.735000,173.400700,175.190000,844113
2018-01-04,175.850000,176.620000,169.630000,172.000000,1330970
2018-01-05,173.000000,173.320000,169.500000,171.380000,1078563
2018-01-08,171.290000,172.670000,169.427200,172.450000,1623595
2018-01-09,172.750000,173.530000,170.700000,172.430000,981464
2018-01-10,171.730000,174.930000,171.500000,173.200000,1100526
2018-01-11,174.810000,179.990000,174.635000,179.990000,1533899
2018-01-12,180.600000,182.860000,179.520000,180.890000,882618
2018-01-16,181.950000,184.000000,176.680000,178.970000,1083840
2018-01-17,178.760000,180.679900,177.520000,180.170000,693817
2018-01-18,180.330000,181.790000,179.770000,181.240000,814440
2018-01-19,181.700000,184.250000,180.815600,183.670000,1208340
2018-01-22,184.000000,187.170000,181.000000,187.120000,995444
2018-01-23,187.500000,188.730000,183.880000,185.870000,1531460
2018-01-24,186.470000,187.080000,183.880000,185.520000,1836932
2018-01-25,186.000000,189.000000,176.550000,181.910000,3108655
2018-01-26,184.690000,187.250000,180.440000,185.370000,1963237
2018-01-29,184.930000,188.310000,180.210000,180.470000,1996942
2018-01-30,177.060000,182.990000,176.790000,182.140000,1401099
2018-01-31,185.100000,185.887500,179.780000,181.110000,1420321
2018-02-01,180.680000,183.530000,178.450000,179.650000,1431361
2018-02-02,177.580000,178.205900,173.040000,173.300000,1496713
2018-02-05,171.720000,176.010000,166.580000,166.710000,2209471
2018-02-06,162.280000,172.760000,161.410000,171.340000,1982478
2018-02-07,170.490000,176.060000,170.310000,173.580000,1839695
2018-02-08,173.830000,173.920000,161.860000,161.990000,2291429
2018-02-09,164.510000,166.440000,156.010000,164.260000,2529271
2018-02-12,166.630000,168.770000,163.210000,166.060000,1552211
2018-02-13,165.100000,167.460000,164.525000,166.330000,1359343
2018-02-14,164.020000,168.290000,163.340000,167.040000,1284811
2018-02-15,169.040000,169.694200,164.110000,167.240000,1203618
2018-02-16,166.410000,170.690000,166.410000,168.020000,1047802
2018-02-20,167.190000,174.750000,166.800000,172.250000,1356859
2018-02-21,171.860000,175.610000,171.600000,171.900000,1293381
2018-02-22,173.650000,176.440000,172.593000,175.160000,1705978
2018-02-23,176.690000,179.230000,175.380100,179.090000,1317295
2018-02-26,180.360000,181.073800,177.360000,180.630000,1123059
2018-02-27,180.500000,182.160000,178.310000,178.420000,1138320
2018-02-28,179.460000,179.990000,175.041000,175.090000,1373475
2018-03-01,174.760000,175.000000,170.450000,173.240000,1782280
2018-03-02,172.650000,177.110000,169.500000,176.600000,1659807
2018-03-05,175.300000,181.120000,173.760000,180.710000,1325903
2018-03-06,180.780000,185.835000,178.550000,184.990000,1365590
2018-03-07,182.780000,184.700000,177.310000,181.350000,1883655
2018-03-08,181.540000,184.410000,180.010000,183.360000,885948
2018-03-09,185.120000,189.560000,183.860100,189.400000,1069592
2018-03-12,189.400000,189.500000,185.400000,186.630000,1347653
2018-03-13,187.640000,190.740000,186.110000,186.650000,908185
2018-03-14,187.910000,188.205000,184.110000,184.820000,889614
2018-03-15,186.020000,186.630000,182.370000,182.910000,1012408
2018-03-16,183.000000,188.000000,182.620000,186.290000,1089177
2018-03-19,185.615000,186.080000,182.850000,185.400000,1018278
2018-03-20,185.680000,187.880000,184.820000,185.160000,1037793
2018-03-21,184.970000,190.299700,184.510000,187.270000,913840
2018-03-22,184.000000,186.230000,179.580000,180.260000,1449081
2018-03-23,181.110000,182.410000,174.015000,174.180000,1143188
2018-03-26,177.630000,180.810000,175.910000,180.570000,1430700
2018-03-27,181.480000,183.750000,176.000000,177.150000,1135675
2018-03-28,177.220000,177.220000,168.950000,169.110000,1815412
2018-03-29,170.900000,174.170000,168.440000,172.730000,1567857
2018-04-02,172.040000,172.740000,163.570000,166.600000,1649828
2018-04-03,167.280000,169.820600,166.320000,169.500000,1340028
2018-04-04,165.050000,174.390000,164.461000,173.680000,1478003
2018-04-05,175.330000,178.760000,174.000000,177.940000,1356925
2018-04-06,176.220000,179.290000,169.610000,172.140000,1178682
2018-04-09,173.970000,175.440000,171.660000,171.940000,932498
2018-04-10,175.710000,178.760000,173.730000,177.970000,1135921
2018-04-11,175.950000,178.340000,173.630000,173.970000,1026686
2018-04-12,175.000000,177.640000,174.390000,176.320000,791564
2018-04-13,178.510000,178.840000,172.830000,172.950000,1289879
2018-04-16,174.680000,176.840000,172.510000,174.130000,1663546
2018-04-17,175.890000,178.190000,175.400000,177.540000,1456154
2018-04-18,179.640000,181.660000,178.600100,180.000000,2129295
2018-04-19,174.000000,175.750000,165.750000,168.220000,4919175
2018-04-20,169.900000,170.180000,162.620000,163.220000,2347619
2018-04-23,163.030000,164.950000,161.980000,163.610000,1244051
2018-04-24,164.260000,164.930000,154.070000,156.430000,2294058
2018-04-25,156.400000,158.700000,153.360000,157.880000,1413792
2018-04-26,158.620000,159.000000,153.670000,155.350000,1406490
2018-04-27,155.080000,157.336000,155.060000,155.310000,1090026
2018-04-30,155.350000,155.830000,149.890000,150.000000,1262900
2018-05-01,149.210000,151.200000,145.933400,148.640000,1858958
2018-05-02,149.050000,152.000000,148.700000,149.290000,1261813
2018-05-03,148.960000,150.420000,145.341000,149.800000,1420476
2018-05-04,149.600000,154.240000,148.080000,153.230000,1112729
2018-05-07,154.510000,161.740000,154.440000,159.490000,2258944
2018-05-08,158.640000,161.000000,157.950000,159.330000,1510945
2018-05-09,160.360000,162.840000,159.450000,162.320000,1180803
2018-05-10,163.780000,167.160000,163.120000,166.360000,1335879
2018-05-11,167.140000,168.540000,165.572100,166.890000,844953
2018-05-14,167.790000,167.930000,165.070000,165.560000,918314
2018-05-15,164.900000,166.500000,164.000000,165.550000,811239
2018-05-16,165.400000,170.470000,165.390000,169.480000,1061310
2018-05-17,169.390000,171.390000,168.400000,170.360000,842096
2018-05-18,170.450000,172.400000,169.540000,169.820000,804923
2018-05-21,171.440000,174.590000,170.520000,173.780000,818781
2018-05-22,174.000000,175.420000,166.540000,166.780000,1127326
2018-05-23,165.400000,167.830000,163.640000,167.770000,1213590
2018-05-24,166.000000,168.840000,164.500000,167.410000,928893
2018-05-25,166.620000,166.830000,161.060000,161.940000,1284801
2018-05-29,160.250000,162.850000,159.290000,160.460000,835739
2018-05-30,161.590000,163.320000,159.880000,162.370000,893121
2018-05-31,162.150000,162.150000,159.080000,159.570000,1261156
2018-06-01,161.200000,165.420000,160.680000,163.270000,1153737
2018-06-04,163.550000,164.460000,160.820000,161.350000,908050
2018-06-05,161.770000,164.420000,161.570000,163.920000,713085
2018-06-06,164.830000,165.810000,163.440000,164.850000,1079658
2018-06-07,165.510000,167.750000,164.376800,166.220000,1037858
2018-06-08,165.530000,166.890000,164.875000,166.800000,533712
2018-06-11,166.550000,168.800000,166.070000,167.930000,566273
2018-06-12,168.400000,172.565000,168.170000,169.800000,954583
2018-06-13,169.770000,169.810000,166.540000,166.640000,725758
2018-06-14,166.690000,168.750000,163.950000,164.460000,866156
2018-06-15,162.300000,163.110000,158.630000,160.850000,1866595
2018-06-18,159.120000,163.800000,158.630000,163.320000,990500
2018-06-19,160.720000,161.142100,156.320000,159.390000,1443697
2018-06-20,160.260000,162.000000,158.341400,161.690000,897944
2018-06-21,160.400000,160.491100,152.020000,153.180000,2113287
2018-06-22,157.950000,160.810000,154.500000,154.950000,2444537
2018-06-25,153.500000,153.500000,145.920000,148.150000,2172326
2018-06-26,149.110000,149.760000,146.320000,147.480000,1626175
2018-06-27,148.590000,151.970000,146.460000,146.570000,1544510
2018-06-28,146.290000,147.910000,143.400000,147.470000,1093185
2018-06-29,148.400000,151.470000,147.445000,147.620000,1531500
2018-07-02,144.640000,146.430000,142.610000,144.750000,1096413
2018-07-03,146.140000,148.590000,144.950000,145.150000,643951
2018-07-05,146.550000,148.760000,145.140000,148.500000,1365146
2018-07-06,148.660000,151.360000,147.500000,149.530000,1048749
2018-07-09,150.680000,155.500000,150.350000,155.110000,1153515
2018-07-10,158.390000,158.910000,153.030000,154.290000,1743512
2018-07-11,151.740000,153.926000,151.470000,151.690000,1038623
2018-07-12,153.480000,153.840000,150.238400,152.310000,1074420
2018-07-13,154.200000,156.080000,153.680000,154.830000,1118417
2018-07-16,154.330000,154.750000,151.180000,151.750000,1429874
2018-07-17,150.760000,153.270000,150.070000,152.210000,1262437
2018-07-18,153.610000,155.770000,151.610000,154.910000,2483475
2018-07-19,150.070000,156.690000,150.000000,156.570000,3005969
2018-07-20,155.470000,156.400000,150.840000,151.110000,1825073
2018-07-23,150.990000,151.530000,147.424300,149.320000,1751354
2018-07-24,150.820000,151.880000,146.316700,147.940000,1476966
2018-07-25,146.950000,147.650000,143.330000,146.360000,1632133
2018-07-26,146.230000,152.300000,146.220000,150.970000,1394440
2018-07-27,151.760000,152.300000,146.350000,147.310000,1075967
2018-07-30,148.000000,149.390000,145.090000,145.450000,1066039
2018-07-31,146.200000,149.550000,146.200000,148.800000,1504884
2018-08-01,148.740000,149.150000,145.585000,146.860000,1288634
