Date,Open,High,Low,Close,Volume
2017-10-16,83.960000,84.260000,83.740000,84.070000,378971
2017-10-17,84.010000,84.440000,83.820000,84.310000,441423
2017-10-18,84.260000,84.900000,84.260000,84.800000,428509
2017-10-19,84.800000,84.920000,84.120000,84.910000,514808
2017-10-20,85.000000,85.370000,84.760000,84.850000,749091
2017-10-23,84.880000,85.070000,84.355000,84.770000,634146
2017-10-24,84.730000,85.150000,84.365000,84.880000,532448
2017-10-25,84.530000,84.930000,83.960000,84.200000,540561
2017-10-26,84.480000,85.160000,84.290000,84.830000,777153
2017-10-27,84.530000,85.350000,84.365000,84.940000,1169517
2017-10-30,84.920000,85.160000,84.400000,84.700000,778969
2017-10-31,84.810000,85.420000,84.660000,85.050000,1240607
2017-11-01,86.000000,91.340000,86.000000,89.880000,2413471
2017-11-02,90.300000,91.310000,89.930000,91.020000,1598461
2017-11-03,91.080000,91.410000,90.150000,91.030000,877081
2017-11-06,90.940000,91.730000,90.310000,91.100000,797588
2017-11-07,91.800000,92.920000,91.700000,92.290000,924526
2017-11-08,92.140000,92.860000,91.850000,92.570000,980810
2017-11-09,92.160000,92.780000,90.670000,90.820000,751524
2017-11-10,90.720000,90.720000,89.950000,90.210000,889566
2017-11-13,90.030000,90.430000,89.650000,90.120000,888923
2017-11-14,89.990000,91.590000,89.970000,91.110000,1044141
2017-11-15,91.100000,91.320000,90.390000,90.830000,613194
2017-11-16,91.130000,91.410000,90.630000,90.820000,1090202
2017-11-17,90.880000,92.210000,90.680000,91.860000,1884464
2017-11-20,91.740000,92.560000,91.620000,92.530000,1030785
2017-11-21,92.720000,94.100000,92.650000,93.580000,1269506
2017-11-22,93.520000,94.260000,93.210000,93.820000,946686
2017-11-24,93.800000,94.130000,93.520000,93.880000,223848
2017-11-27,93.880000,94.510000,93.870000,94.220000,685196
2017-11-28,94.410000,95.250000,94.130000,95.230000,759517
2017-11-29,95.290000,95.920000,94.810000,94.980000,681700
2017-11-30,95.190000,96.915000,94.840000,96.420000,904502
2017-12-01,98.050000,98.600000,94.180000,95.640000,957707
2017-12-04,95.820000,96.710000,95.790000,96.010000,877075
2017-12-05,96.340000,96.650000,95.880000,95.940000,838348
2017-12-06,96.080000,96.350000,95.620000,95.870000,605505
2017-12-07,96.250000,96.410000,95.350000,95.440000,715682
2017-12-08,96.010000,96.380000,95.350000,96.160000,565137
2017-12-11,95.960000,95.960000,94.230000,94.320000,1249404
2017-12-12,94.480000,94.850000,93.730000,94.600000,972403
2017-12-13,94.790000,95.100000,94.250000,94.410000,848248
2017-12-14,94.560000,95.760000,94.500000,94.730000,1015523
2017-12-15,95.000000,95.620000,94.390000,95.000000,2703879
2017-12-18,95.410000,96.360000,95.320000,95.940000,824240
2017-12-19,95.770000,96.762500,95.460000,96.000000,1067503
2017-12-20,96.380000,97.090000,96.080000,96.320000,822658
2017-12-21,96.830000,96.830000,95.320000,95.580000,652701
2017-12-22,95.520000,95.740000,94.930000,95.330000,656660
2017-12-26,95.460000,96.170000,95.280000,95.650000,456958
2017-12-27,95.960000,96.050000,95.440000,95.770000,369325
2017-12-28,95.540000,96.520000,95.540000,96.450000,597792
2017-12-29,96.410000,97.000000,95.930000,96.000000,529448
2018-01-02,96.480000,96.740000,95.380000,95.830000,653913
2018-01-03,95.760000,95.970000,95.260000,95.550000,760168
2018-01-04,95.960000,96.290000,95.580000,96.030000,960974
2018-01-05,96.500000,96.960000,95.920000,96.880000,882063
2018-01-08,96.560000,97.560000,96.335000,97.000000,791601
2018-01-09,97.020000,97.190000,96.330000,96.730000,566880
2018-01-10,97.130000,97.130000,96.070000,96.340000,437528
2018-01-11,96.390000,96.730000,96.030000,96.670000,357869
2018-01-12,96.780000,97.590000,96.430000,97.500000,734536
2018-01-16,97.370000,97.890000,97.100000,97.200000,967582
2018-01-17,97.750000,98.270000,97.270000,98.010000,719836
2018-01-18,98.090000,98.719000,96.286200,98.200000,763973
2018-01-19,98.500000,99.090000,97.990000,98.900000,1088586
2018-01-22,99.010000,99.550000,98.340000,99.520000,628744
2018-01-23,99.080000,99.300000,97.330000,99.250000,922074
2018-01-24,99.250000,99.920000,98.890000,99.000000,637390
2018-01-25,99.450000,99.710000,98.530000,98.590000,653215
2018-01-26,98.960000,98.960000,97.870000,98.310000,1477579
2018-01-29,98.000000,98.860000,97.540000,98.250000,1033914
2018-01-30,98.290000,99.400000,97.875000,99.120000,1253586
2018-01-31,99.170000,100.540000,98.720000,100.050000,1264569
2018-02-01,99.230000,100.340000,98.000000,100.260000,1599836
2018-02-02,99.840000,100.260000,98.800000,98.830000,1086583
2018-02-05,98.880000,99.310000,94.850000,94.890000,1257480
2018-02-06,93.530000,95.440000,92.401000,95.010000,1246944
2018-02-07,94.610000,96.400000,94.520000,94.690000,940112
2018-02-08,94.700000,95.490000,92.240000,92.280000,1038163
2018-02-09,92.980000,93.540000,90.600000,92.910000,1134681
2018-02-12,93.580000,95.130000,92.890000,94.300000,900236
2018-02-13,93.940000,95.079900,92.618100,94.880000,800183
2018-02-14,94.370000,96.780000,93.520000,96.630000,916033
2018-02-15,97.400000,98.230000,96.510000,98.230000,937641
2018-02-16,98.170000,99.680000,98.170000,98.790000,2067699
2018-02-20,98.510000,98.510000,96.590000,97.040000,1466220
2018-02-21,100.000000,102.000000,99.000000,99.230000,1855629
2018-02-22,100.620000,101.690000,98.990000,99.610000,1733951
2018-02-23,100.000000,101.570000,99.180000,101.540000,802692
2018-02-26,101.830000,103.620000,101.790000,103.590000,1005838
2018-02-27,103.850000,103.860000,103.040000,103.070000,951269
2018-02-28,103.670000,103.720000,102.160000,102.190000,867377
2018-03-01,102.000000,102.675000,100.000000,101.060000,996719
2018-03-02,100.190000,101.590000,99.300000,101.370000,1140587
2018-03-05,101.270000,103.340000,100.860000,103.090000,857713
2018-03-06,103.310000,104.550000,103.075000,104.270000,1012699
2018-03-07,103.630000,104.300000,103.080000,104.130000,636523
2018-03-08,104.330000,104.680000,103.760000,104.380000,824346
2018-03-09,104.950000,106.010000,104.650000,105.840000,1175886
2018-03-12,105.820000,106.070000,104.680000,104.860000,680972
2018-03-13,105.290000,105.540000,104.130000,104.480000,617360
2018-03-14,104.910000,105.000000,103.910000,104.090000,508584
2018-03-15,104.250000,104.705000,103.580000,104.260000,612901
2018-03-16,104.300000,105.380000,104.160000,104.770000,979268
2018-03-19,104.490000,104.560000,103.100000,103.950000,709754
