Date,Open,High,Low,Close,Volume
2017-10-16,153.110000,157.780000,153.100000,154.700000,2328423
2017-10-17,154.550000,156.000000,154.020000,155.050000,795374
2017-10-18,155.290000,158.040000,154.020000,154.760000,1050665
2017-10-19,154.570000,155.790000,152.420000,154.600000,1309420
2017-10-20,154.970000,155.850000,152.600000,154.630000,1320895
2017-10-23,155.320000,155.350000,150.680000,151.060000,1552169
2017-10-24,151.060000,152.870000,148.340000,151.110000,1829565
2017-10-25,150.080000,151.090000,146.080000,146.800000,2388956
2017-10-26,144.880000,147.430000,139.050000,143.760000,3735337
2017-10-27,141.410000,150.150000,141.020100,150.110000,2747621
2017-10-30,149.710000,152.800000,148.865000,149.530000,1750533
2017-10-31,149.340000,149.340000,141.820000,146.230000,2457065
2017-11-01,147.350000,147.350000,142.390000,142.630000,2412596
2017-11-02,142.010000,146.510000,142.010000,144.900000,2049975
2017-11-03,143.050000,150.080000,142.990000,149.970000,1884899
2017-11-06,148.170000,150.590000,146.830000,148.980000,1608296
2017-11-07,149.030000,151.340000,148.320000,151.310000,1384975
2017-11-08,151.510000,152.000000,146.690000,147.400000,1191898
2017-11-09,146.260000,148.500000,144.321000,148.170000,1132350
2017-11-10,148.260000,149.270000,146.100000,148.740000,861047
2017-11-13,147.440000,148.730000,146.250000,148.030000,743628
2017-11-14,147.400000,149.050000,145.420000,147.820000,1209146
2017-11-15,147.290000,151.750000,146.300000,148.660000,1086600
2017-11-16,148.770000,150.330000,147.750000,147.940000,1516387
2017-11-17,147.700000,148.790000,146.650000,147.410000,903595
2017-11-20,146.920000,147.460000,143.430000,144.640000,1451615
2017-11-21,145.710000,146.360000,143.505000,145.110000,1501124
2017-11-22,145.420000,147.390000,144.810000,147.040000,906988
2017-11-24,146.080000,147.900000,146.040000,146.550000,660987
2017-11-27,146.840000,149.290000,146.720000,148.550000,1197667
2017-11-28,148.860000,149.000000,146.050000,147.320000,1116960
2017-11-29,147.010000,148.341200,142.440000,143.750000,1313862
2017-11-30,144.190000,146.100000,143.945000,144.290000,1739281
2017-12-01,143.090000,144.700000,139.860000,140.790000,2448450
2017-12-04,141.990000,142.700000,138.670000,138.790000,2127679
2017-12-05,138.600000,141.670000,138.020000,138.360000,1374011
2017-12-06,138.300000,139.410000,136.830000,137.280000,1582655
2017-12-07,137.920000,140.850000,136.500000,138.780000,1687469
2017-12-08,139.800000,144.800000,139.110000,143.610000,1725542
2017-12-11,143.730000,143.910000,139.800000,141.680000,1475182
2017-12-12,140.040000,142.080000,140.040000,140.910000,1010253
