Date,Open,High,Low,Close,Volume
2017-10-16,172.936800,172.936800,169.942200,171.587500,637973
2017-10-17,171.490500,171.490500,169.607300,171.170100,798922
2017-10-18,171.257500,173.048400,170.286800,171.606900,632357
2017-10-19,171.364300,173.004700,170.354800,172.742600,381727
2017-10-20,173.626000,177.770800,173.574500,177.110700,894871
2017-10-23,177.149500,178.489100,175.587800,177.149500,1524855
2017-10-24,160.114100,163.657100,157.260300,158.473600,9479958
2017-10-25,157.949400,158.221200,155.027700,156.221600,2497223
2017-10-26,156.406100,158.318300,155.862500,156.774900,1531097
2017-10-27,156.901100,158.163000,155.920700,156.677900,1250981
2017-10-30,156.279900,157.241800,155.852800,156.920500,910196
2017-10-31,157.027300,159.997600,155.920700,159.124000,1138772
2017-11-01,160.162600,162.540800,158.832900,159.599600,1137854
2017-11-02,158.920100,159.837400,156.221600,158.619200,985406
2017-11-03,158.735700,161.351700,158.522200,159.056000,951341
2017-11-06,158.735700,159.114300,157.784400,158.628900,496218
2017-11-07,158.580400,158.705600,157.347600,157.794100,732895
2017-11-08,157.900900,158.286800,157.066100,157.998000,543639
2017-11-09,157.017600,158.143600,156.561400,157.968900,687854
2017-11-10,157.774700,158.182400,156.939900,157.299100,704511
2017-11-13,156.765200,157.706800,156.697300,156.930200,490846
2017-11-14,157.221400,157.221400,155.280100,156.279900,620105
2017-11-15,154.901500,157.483500,154.144400,156.833200,736745
2017-11-16,157.908200,160.737600,157.594000,159.188500,639121
2017-11-17,158.739000,162.316000,158.084200,161.651400,808569
2017-11-20,162.110800,163.068600,160.986800,161.456000,553935
2017-11-21,162.061900,166.029900,160.488400,165.052600,1400855
2017-11-22,164.974400,165.599800,162.404000,162.863300,889597
2017-11-24,164.036100,164.925500,163.049000,164.016600,336316
2017-11-27,163.899300,164.182700,161.192100,161.260500,985763
2017-11-28,161.280000,164.026400,160.058400,163.684300,1722203
2017-11-29,163.772300,166.352400,163.234700,165.160100,1420536
2017-11-30,166.049400,167.686500,163.254300,164.749600,988149
2017-12-01,164.612800,165.345800,160.781600,163.664700,776849
2017-12-04,165.560800,167.515400,164.506200,165.785600,1098113
2017-12-05,164.974400,166.235100,162.912200,165.287100,693498
2017-12-06,165.551000,166.929000,165.072100,165.277300,463325
2017-12-07,166.196000,167.398200,165.179600,166.626100,742880
2017-12-08,165.854000,167.007200,164.651900,165.854000,579166
2017-12-11,165.492400,166.010400,162.892600,164.065500,1151762
2017-12-12,162.736300,164.964600,162.218300,162.736300,859185
2017-12-13,163.137000,164.375300,162.873100,163.254300,506064
2017-12-14,163.508400,164.070300,159.227600,160.205000,850373
2017-12-15,160.615500,161.368000,159.520800,160.762100,1205687
2017-12-18,161.553700,162.237800,160.996600,161.612300,735926
2017-12-19,161.856700,163.088100,160.967300,162.335600,560960
2017-12-20,162.491900,162.922000,161.035700,161.143200,415073
2017-12-21,161.651400,166.919300,161.592800,165.766000,1240295
2017-12-22,166.196000,168.395100,165.199200,167.789100,705373
2017-12-26,167.818400,169.274700,165.922400,166.303600,469556
2017-12-27,166.088500,166.997500,165.795300,166.225400,329494
2017-12-28,166.420800,166.890000,165.326200,166.802000,281270
2017-12-29,166.665200,167.784500,164.441700,164.818000,399759
2018-01-02,165.336000,166.098300,163.215200,164.182700,675996
2018-01-03,164.466200,165.704900,164.094800,165.013500,963157
2018-01-04,166.059200,166.391500,164.290200,164.993900,617559
2018-01-05,165.052600,165.482600,163.928600,164.661600,561187
2018-01-08,164.778900,166.567400,164.099700,165.218700,918863
2018-01-09,165.717200,165.981000,164.133900,164.554100,1108711
2018-01-10,163.254300,163.327600,160.605700,162.443100,827694
2018-01-11,163.078300,165.463000,160.791400,165.199200,953738
2018-01-12,165.961500,169.069400,164.671400,168.834900,1081757
2018-01-16,169.079200,169.269800,163.840700,165.121000,844276
2018-01-17,165.932200,168.395100,164.720300,167.495900,805092
2018-01-18,168.023700,168.150700,162.882900,163.596300,1061482
2018-01-19,163.567000,164.006800,161.749200,163.733200,879683
2018-01-22,163.166300,163.166300,160.058400,162.873100,1109286
2018-01-23,172.162700,172.988500,166.538100,168.082300,2152063
2018-01-24,169.743800,177.767700,169.548300,174.913900,2261389
2018-01-25,175.930300,183.221200,174.962800,178.940500,2563883
2018-01-26,181.530500,182.713000,180.318600,181.755200,1472157
2018-01-29,180.230600,180.709500,178.070700,178.363900,968139
2018-01-30,177.601600,178.940500,175.979200,177.943600,843016
2018-01-31,178.852600,179.439000,176.360300,177.308400,822514
2018-02-01,176.526500,180.318600,176.321200,178.354100,799249
2018-02-02,177.161800,177.474500,173.242600,174.024500,852221
2018-02-05,172.959200,175.050700,167.642500,167.984600,1295595
2018-02-06,164.759400,170.486600,163.713600,169.870800,1298300
2018-02-07,169.264900,172.460800,167.583900,167.632700,862497
2018-02-08,167.114700,167.124500,161.201900,161.211600,933637
2018-02-09,164.466200,167.515400,159.921500,163.224900,1635862
2018-02-12,165.199200,168.580700,164.221800,167.173400,930899
2018-02-13,166.538100,167.779300,165.062300,166.332900,592143
2018-02-14,165.150300,168.746800,164.270700,167.329800,751590
2018-02-15,168.893500,173.565200,167.574100,172.734400,894907
2018-02-16,172.460800,175.920500,168.258200,168.786000,1288373
2018-02-20,168.395100,169.411500,163.967700,164.681200,1059071
2018-02-21,165.023200,165.384900,162.491900,162.521300,1151983
2018-02-22,162.863300,164.827800,162.482200,164.661600,679430
2018-02-23,165.844200,168.643800,164.661600,167.554500,750272
2018-02-26,167.554500,167.750000,162.516400,164.280500,1039596
2018-02-27,164.847300,165.697600,161.456000,161.495100,554284
2018-02-28,161.504800,162.566500,158.241500,158.748700,1021155
2018-03-01,158.128800,161.292400,156.082100,158.000900,1439787
2018-03-02,157.105500,157.105500,153.868100,156.111600,1086626
2018-03-05,155.432700,157.634900,155.353900,156.042700,880222
2018-03-06,156.898800,159.309600,156.898800,158.837300,837631
2018-03-07,158.178000,159.162000,155.186700,156.062400,725010
2018-03-08,156.574100,157.115300,154.379800,156.239500,657192
2018-03-09,157.292400,161.612200,155.934500,161.435100,973305
2018-03-12,162.123900,162.497800,160.352700,160.697100,536100
2018-03-13,161.385900,161.976300,159.506400,160.116500,457405
2018-03-14,161.238300,161.238300,157.302300,157.558100,533572
2018-03-15,157.587600,158.296100,156.436300,157.912300,649559
2018-03-16,158.296100,160.087000,157.213700,157.262900,948434
2018-03-19,156.357600,156.456000,154.045200,155.472000,1088266
2018-03-20,156.367500,156.524900,153.522100,154.743900,1064793
2018-03-21,155.275200,156.465900,154.606100,155.708200,705835
2018-03-22,154.556900,155.845900,152.982500,152.992300,804757
2018-03-23,153.395800,153.504000,149.961600,150.187900,1155582
2018-03-26,152.175600,152.421600,150.020700,150.985000,668691
2018-03-27,150.955500,151.860700,149.076000,150.355200,751847
2018-03-28,150.355200,150.930900,147.816500,148.751300,797695
2018-03-29,149.646700,151.723000,149.528700,150.660300,508315
2018-04-02,150.109200,150.438900,146.242100,148.052700,989868
2018-04-03,148.495500,149.686100,147.634500,148.810300,548791
2018-04-04,143.664000,149.449900,143.260600,149.174400,1491952
2018-04-05,150.493000,151.044000,149.234400,150.168300,880964
2018-04-06,149.292500,149.469600,144.057600,146.143700,927931
2018-04-09,145.573000,147.088300,144.372500,144.441400,715066
2018-04-10,145.661500,148.092000,145.563100,147.422900,755913
2018-04-11,146.527500,148.101900,146.409400,146.547100,433652
2018-04-12,146.724300,147.600000,146.291300,146.645500,528897
2018-04-13,147.846000,148.456100,145.602500,146.212600,390938
2018-04-16,147.875500,151.713100,147.324500,151.112900,973903
2018-04-17,152.126400,153.592600,150.965300,151.073500,835001
2018-04-18,151.339200,154.045200,151.339200,152.244500,534633
2018-04-19,151.506500,152.126400,148.013300,149.577900,576844
2018-04-20,149.233500,150.109200,145.740300,146.980100,878458
2018-04-23,146.980100,148.367500,146.350300,147.914900,1122738
2018-04-24,154.488000,157.203900,153.125200,153.464700,3734625
2018-04-25,153.002200,154.123900,151.536000,152.992300,1500229
2018-04-26,153.622100,154.153500,150.788200,153.356400,1120827
2018-04-27,153.297400,155.609800,152.293700,155.226000,1006200
2018-04-30,155.216200,155.452300,152.293700,152.470800,901291
2018-05-01,151.732800,153.966500,150.276500,153.425300,1138966
2018-05-02,153.563100,153.730300,151.378600,151.772200,893810
2018-05-03,151.132600,151.457300,147.806700,149.312200,1510594
2018-05-04,148.780800,151.644300,148.672600,150.847200,1019232
2018-05-07,151.083400,152.303500,150.591400,150.945600,1088776
2018-05-08,151.103100,152.795500,150.601200,151.516300,726674
2018-05-09,151.595100,153.051400,150.443800,152.126400,835239
2018-05-10,152.893900,154.409300,152.224800,153.130100,911937
2018-05-11,152.854600,154.143600,152.569200,153.474500,746808
2018-05-14,153.622100,155.914800,153.523700,155.127600,1101509
2018-05-15,154.527400,155.472000,154.084600,154.743900,1757712
2018-05-16,154.891500,157.863100,154.655600,157.007100,2060618
2018-05-17,157.591800,160.674300,156.779100,160.416600,3897050
2018-05-18,160.545400,162.775500,159.831800,161.239200,3732876
2018-05-21,163.390000,164.926300,162.052000,163.489100,4571017
2018-05-22,163.538700,166.056200,162.795300,162.844900,6635106
2018-05-23,162.993600,164.490200,161.189700,163.191800,4099825
2018-05-24,156.541200,157.393600,149.414900,149.672600,6791684
2018-05-25,149.623000,152.120700,148.671500,149.732100,4434457
2018-05-29,148.076900,149.573500,147.480200,148.661600,1481645
2018-05-30,149.335600,149.613100,147.393000,147.918300,2370155
2018-05-31,147.482200,147.566400,142.179600,143.468000,3159596
2018-06-01,143.696000,144.023100,141.842600,144.023100,2625083
2018-06-04,147.660600,149.761800,146.927100,147.898500,1616971
2018-06-05,148.245400,148.403900,146.114400,147.125400,1335997
2018-06-06,146.530700,146.803200,143.988400,146.292800,1126967
2018-06-07,146.639700,148.047100,145.311600,147.056000,949508
2018-06-08,147.036200,147.967800,145.192600,147.541600,956774
2018-06-11,147.541600,150.029400,147.452400,149.345500,730070
2018-06-12,150.158300,150.614200,148.859900,150.297000,838723
2018-06-13,150.624100,150.852100,149.464500,149.722200,708383
2018-06-14,151.417000,155.361800,150.713300,154.093100,1894743
2018-06-15,153.458800,153.458800,150.217700,150.693500,1460435
2018-06-18,149.325700,149.781600,148.423800,149.296000,832627
2018-06-19,147.839000,147.839000,144.875500,145.698100,1381470
2018-06-20,145.906300,146.550500,143.497800,144.607900,760240
2018-06-21,143.705900,144.147000,142.417400,142.704900,698790
2018-06-22,143.002200,143.676200,142.328200,143.368900,695348
2018-06-25,142.992300,143.458100,141.892100,142.615700,965659
2018-06-26,143.557200,143.905600,141.044700,143.101300,801535
2018-06-27,143.814900,146.104500,143.002200,143.368900,643445
2018-06-28,143.626600,144.687800,142.407500,144.270900,1084933
2018-06-29,144.647500,146.438100,144.102400,144.934900,674482
2018-07-02,143.468000,145.866600,142.521500,145.638600,703417
2018-07-03,146.471200,146.917200,144.726800,144.855600,301991
2018-07-05,145.162900,147.749800,144.895300,147.492100,639347
2018-07-06,147.293900,149.920400,147.293900,149.533800,488287
2018-07-09,150.643900,153.904800,149.405000,153.528100,828444
2018-07-10,153.557900,153.627300,151.169200,152.685700,640909
2018-07-11,151.932400,153.716500,151.070100,152.804600,645733
2018-07-12,153.458800,154.296300,152.130600,153.914700,676442
2018-07-13,153.498400,155.123900,152.646000,154.390400,876394
2018-07-16,152.784800,153.379500,150.951200,152.081100,886231
2018-07-17,151.843200,152.992900,148.344500,149.424800,1276799
2018-07-18,148.592300,149.613100,146.837900,149.107600,946237
2018-07-19,149.147300,151.332800,148.215600,151.000700,937221
2018-07-20,150.832200,153.419100,150.098800,150.455600,1190480
2018-07-23,150.356500,151.347600,149.068000,149.375300,1274205
2018-07-24,134.171100,134.597300,127.114200,127.679100,12449807
2018-07-25,127.134000,127.411500,121.722300,123.109900,4774878
2018-07-26,122.678800,126.668200,121.940400,126.509600,2266384
2018-07-27,126.866400,128.947800,126.331200,126.757400,1778222
2018-07-30,126.757400,128.293500,126.351000,126.767300,2091098
2018-07-31,127.471000,130.484100,126.866400,129.938900,1154322
