Date,Open,High,Low,Close,Volume
2017-10-16,57.277800,57.481800,56.937900,57.433300,897008
2017-10-17,57.384700,57.938300,57.316700,57.889800,1562749
2017-10-18,58.181200,58.181200,57.608100,57.889800,1428395
2017-10-19,58.045200,58.307400,57.462400,57.889800,1936500
2017-10-20,58.181200,58.802800,58.020900,58.793100,1214109
2017-10-23,59.055300,59.366200,58.754200,59.016500,2299112
2017-10-24,59.337000,59.735200,58.696000,59.317600,2315564
2017-10-25,59.560400,59.560400,58.637700,59.220500,1736369
2017-10-26,59.628400,59.628400,58.705700,58.734800,1808218
2017-10-27,58.822200,59.113600,56.947600,59.084500,2023945
2017-10-30,58.812500,59.337000,58.509000,58.589100,1026100
2017-10-31,59.006800,59.589600,58.414300,59.570100,1861892
2017-11-01,59.570100,59.832400,59.084500,59.570100,2422454
2017-11-02,59.453600,59.463300,57.511000,58.103500,2129574
2017-11-03,58.132600,58.326900,57.307000,58.229700,1617658
2017-11-06,58.268600,58.686200,56.685400,57.569200,2238810
2017-11-07,57.744100,57.812100,56.860200,57.258400,1187422
2017-11-08,57.209900,57.646900,56.772800,57.637200,1146681
2017-11-09,57.473100,58.246100,57.228500,57.756900,1855330
2017-11-10,57.747100,57.844900,57.179600,57.394800,1185795
2017-11-13,57.248100,57.619900,56.925200,57.570900,1320390
2017-11-14,57.463300,57.942800,56.944800,57.394800,1389585
2017-11-15,57.277400,57.903600,56.886000,57.492700,1281099
2017-11-16,57.952500,58.265600,57.326300,57.874300,1577926
2017-11-17,57.659000,58.432000,57.267600,58.216700,1192507
2017-11-20,58.040600,58.040600,57.179600,57.189400,1313645
2017-11-21,57.522000,57.874300,57.297000,57.394800,1329358
2017-11-22,57.786200,57.786200,57.375300,57.522000,850956
2017-11-24,57.933000,58.099300,57.394800,57.590500,350754
2017-11-27,57.835100,57.835100,57.189400,57.424200,1090410
2017-11-28,57.688400,58.079700,57.404600,58.001500,957645
2017-11-29,57.952500,59.165800,57.737300,58.960300,953783
2017-11-30,59.214700,61.259600,59.112000,61.064000,2371421
2017-12-01,60.927000,61.191100,59.234300,61.054200,2293892
2017-12-04,61.465100,62.257600,61.183900,62.101100,1747873
2017-12-05,62.208700,62.257600,61.651000,61.944500,1675417
2017-12-06,61.866300,62.179400,61.592300,62.052200,1336315
2017-12-07,62.130400,62.384800,61.813300,62.189100,1279739
2017-12-08,62.619700,63.363300,62.331000,63.030600,1670979
2017-12-11,63.060000,63.343700,62.590300,63.030600,2141721
2017-12-12,62.561000,63.470900,62.424000,62.561000,1525742
2017-12-13,62.619700,63.089300,62.570700,62.913200,1523811
2017-12-14,63.099100,63.226300,61.200900,61.200900,2113744
2017-12-15,62.541400,62.717500,61.289000,61.748900,5030234
2017-12-18,62.130400,62.707700,62.130400,62.482700,1467443
2017-12-19,62.453300,62.805600,61.788000,62.032600,1410943
2017-12-20,62.179400,62.453300,61.739100,62.355500,1144716
2017-12-21,62.707700,62.854500,62.365300,62.463100,932905
2017-12-22,62.433800,62.583000,61.797800,62.355500,868723
2017-12-26,62.463100,62.756600,61.788000,61.885800,664687
2017-12-27,61.934800,62.120700,61.602100,61.719500,817235
2017-12-28,61.866300,61.905400,61.386800,61.836900,1190990
2017-12-29,61.934800,62.287000,61.494500,61.846700,1142925
2018-01-02,62.277200,63.402400,62.042400,63.314300,2236280
2018-01-03,63.559000,64.576500,63.353500,63.989500,2139894
2018-01-04,64.263400,65.789800,64.087300,65.594100,2195797
2018-01-05,65.799600,66.357300,65.398400,65.858300,1962013
2018-01-08,65.936500,66.817100,65.682200,66.298600,2040743
2018-01-09,66.122400,66.631200,65.809300,65.946300,2250275
2018-01-10,66.063700,66.259400,65.603900,65.956100,1378607
2018-01-11,66.279000,66.787800,65.770200,66.787800,1335220
2018-01-12,67.228100,67.795600,66.641000,67.707500,1580890
2018-01-16,67.913000,68.460900,66.915000,67.208500,1602405
2018-01-17,67.697700,68.001000,67.267200,67.776000,1461614
2018-01-18,67.648800,67.893400,66.406200,66.562700,2306338
