Date,Open,High,Low,Close,Volume
2017-10-16,75.540500,75.807100,74.977700,75.244300,1490296
2017-10-17,75.145500,75.816800,75.071500,75.224500,1410724
2017-10-18,75.402200,75.688600,75.036900,75.056700,1293198
2017-10-19,74.977700,75.194900,74.247100,74.859200,1726993
2017-10-20,75.086300,75.204800,74.750600,75.204800,1271301
2017-10-23,75.303500,75.407200,74.572900,74.592600,1695277
2017-10-24,74.602500,74.780200,74.266800,74.385300,1398793
2017-10-25,74.049600,74.355700,73.240000,73.723800,2007600
2017-10-26,74.256900,75.185000,74.256900,74.908600,1829905
2017-10-27,75.027100,75.086300,74.178000,74.286600,2097888
2017-10-30,73.970600,74.217500,73.398000,74.010100,2026003
2017-10-31,73.871900,74.197700,73.447300,73.506600,1945281
2017-11-01,73.595400,74.000200,73.319000,73.368400,1887183
2017-11-02,78.255600,79.637900,75.244300,78.147000,4749433
2017-11-03,77.554600,79.203400,77.544800,77.910100,2583988
2017-11-06,78.008800,78.936900,77.811300,78.857900,1731648
2017-11-07,78.986200,80.220400,78.927000,79.983500,2669309
2017-11-08,79.539200,80.615300,79.015900,80.101900,2534454
2017-11-09,79.835400,80.121700,77.801500,78.522200,2097031
2017-11-10,78.147000,78.769000,77.791600,78.581400,1604253
2017-11-13,78.571600,78.946800,78.542000,78.729500,1306448
2017-11-14,78.839700,79.335300,78.676200,78.720800,1250237
2017-11-15,78.294600,78.810000,78.007200,78.096400,1831039
2017-11-16,78.086500,78.512700,77.650400,77.838700,1707148
2017-11-17,77.620700,78.076600,77.353100,77.898200,1486337
2017-11-20,78.017100,78.324400,77.769400,78.086500,1314633
2017-11-21,78.502800,79.047800,78.344200,78.819900,1824997
2017-11-22,78.710900,79.008200,78.383800,78.522600,1115812
2017-11-24,78.542400,78.998300,78.433400,78.473000,682543
2017-11-27,78.512700,78.988400,78.423500,78.869500,1141219
2017-11-28,79.127100,80.405600,78.988400,80.306500,1787351
2017-11-29,80.564200,81.386800,80.475000,81.079500,1669284
2017-11-30,81.337200,83.309500,81.049800,82.724700,3051934
2017-12-01,82.714800,83.002200,80.921000,82.655300,2486439
2017-12-04,83.022000,83.537400,82.358000,82.566200,2309244
2017-12-05,82.823800,83.349100,82.288700,82.358000,1899462
2017-12-06,82.595900,83.507700,82.402600,82.496800,1573871
2017-12-07,82.318400,82.685100,82.040900,82.308500,1580797
2017-12-08,82.407600,82.942800,82.110300,82.576100,1877080
2017-12-11,82.576100,82.576100,81.545300,81.713800,1643942
2017-12-12,81.257900,81.684100,80.916000,81.257900,1628520
2017-12-13,81.446200,82.001200,81.327300,81.456200,1640896
2017-12-14,81.495800,82.040900,81.228200,81.307500,1406410
2017-12-15,81.634500,82.070600,81.327300,81.565200,4271650
2017-12-18,82.070600,82.754500,82.021900,82.367900,1780600
2017-12-19,82.665300,82.774300,82.110300,82.120200,1229389
2017-12-20,82.258900,82.338200,81.396700,81.396700,1157610
2017-12-21,81.317400,82.140000,81.277800,81.763400,1662067
2017-12-22,82.040900,82.040900,81.267800,81.664300,919864
2017-12-26,81.654400,81.703900,81.238100,81.456200,666705
2017-12-27,81.604800,81.822800,80.970500,81.664300,1051921
2017-12-28,81.951700,81.951700,81.287700,81.931900,673301
2017-12-29,81.902100,81.971500,80.861500,80.881300,1347613
2018-01-02,81.416500,81.723700,80.752500,80.871400,1747813
2018-01-03,80.504700,81.089500,80.409900,80.802000,2554926
2018-01-04,81.020100,81.852600,80.802000,81.624600,1971969
2018-01-05,81.852600,82.268800,81.624600,82.100300,1927917
2018-01-08,81.981400,82.318400,81.386800,82.239100,1599534
2018-01-09,82.328300,82.417400,81.535400,82.021100,1701081
2018-01-10,82.110300,82.110300,81.476000,81.812900,887313
2018-01-11,81.842700,82.268800,81.203400,81.753500,1352675
2018-01-12,82.021100,83.012100,81.713800,82.873400,1377469
2018-01-16,83.319400,83.587000,81.902100,82.189500,1391154
2018-01-17,82.576100,82.774300,82.021100,82.348100,1678525
2018-01-18,82.437300,82.685000,82.189500,82.358000,1015220
2018-01-19,82.685100,83.160800,82.595900,83.061700,1677686
2018-01-22,83.061700,84.161800,82.922900,84.151900,1469255
2018-01-23,83.963600,85.569100,83.906800,85.073600,2010054
2018-01-24,85.202400,85.331200,84.191500,84.478900,1192932
2018-01-25,84.558200,85.053700,83.864500,84.895200,929863
2018-01-26,84.915000,85.470000,84.449200,85.430300,1332647
2018-01-29,85.321300,86.153800,85.162800,85.707800,2303333
2018-01-30,84.241100,84.716800,83.616700,83.834700,1779572
2018-01-31,83.864500,84.290600,83.497800,83.834700,2132134
2018-02-01,83.487800,83.715800,82.704900,83.230200,1685275
2018-02-02,83.150900,83.834700,81.703900,81.892200,3161369
2018-02-05,81.337200,82.209400,78.780300,79.087500,2870315
2018-02-06,77.650400,80.108300,75.668300,79.860500,3050096
2018-02-07,79.355100,81.208400,79.285700,79.414500,3561068
2018-02-08,77.313500,80.384800,75.202500,75.618700,4632845
2018-02-09,76.599900,79.374900,75.747600,78.601900,5100433
2018-02-12,78.542400,79.632600,76.728700,77.372900,3023822
2018-02-13,77.105500,77.638200,76.796800,77.434100,1512668
2018-02-14,76.806800,78.340100,75.990300,77.543600,3108012
2018-02-15,77.902000,78.947500,77.553500,78.628900,2901896
2018-02-16,78.399900,78.658700,77.882100,77.912000,2688922
2018-02-20,77.732800,78.399900,77.035800,77.742700,2553725
2018-02-21,77.563500,78.748400,77.463900,77.473900,2209931
2018-02-22,77.563500,78.489500,77.563500,77.981700,1881110
2018-02-23,78.320200,79.505000,78.220600,79.455300,2329638
2018-02-26,79.674300,80.431100,79.559800,80.222000,1790024
2018-02-27,80.251800,80.660100,79.833700,79.833700,2315789
2018-02-28,80.351400,82.332800,80.271700,81.028500,3629428
2018-03-01,80.630200,81.367000,78.897700,79.355700,2673980
2018-03-02,78.290300,80.381300,77.762600,79.943200,2776701
2018-03-05,79.604600,80.510700,79.375600,80.281700,1896081
2018-03-06,80.739700,81.287300,80.302600,81.028500,1968747
2018-03-07,80.371300,81.207700,80.092500,81.058300,1855847
2018-03-08,81.357000,82.183500,81.272400,82.064000,2377362
2018-03-09,82.233200,82.920300,81.904700,82.591700,1897727
2018-03-12,82.930200,83.567500,81.954400,82.054000,2666809
2018-03-13,82.482200,82.860500,81.770200,81.994300,1890361
2018-03-14,82.133700,82.412500,81.735400,81.914600,1692456
2018-03-15,82.014200,83.537600,81.825000,82.522000,2233701
2018-03-16,82.561800,83.438000,82.462200,83.139300,2344144
2018-03-19,82.920300,83.099500,81.048400,81.785200,2176418
2018-03-20,82.143600,83.109400,81.835000,82.731100,1855545
2018-03-21,82.780900,83.159200,82.342800,82.452300,1302576
2018-03-22,81.735400,83.019800,81.725400,81.825000,1996312
2018-03-23,82.054000,82.601600,81.327200,81.327200,2720558
2018-03-26,82.223300,83.856200,82.203400,83.667000,2049933
2018-03-27,83.876100,85.070900,83.149300,83.517700,3006206
2018-03-28,83.597300,84.772200,83.597300,83.886100,2476357
2018-03-29,84.354000,85.299900,83.696900,84.762300,1718883
2018-04-02,84.851900,85.449300,82.531900,83.378300,2282926
2018-04-03,83.388200,83.975700,82.541900,83.746700,2463372
2018-04-04,83.089500,85.190400,82.960100,85.051000,2610391
2018-04-05,85.578700,85.977000,84.722400,85.638500,1978502
2018-04-06,85.070900,85.618600,83.567500,84.095200,1891611
2018-04-09,84.483500,85.051000,83.985600,84.085200,1490097
2018-04-10,85.240200,85.509000,84.627900,85.210300,2352061
2018-04-11,85.130700,85.777900,84.971400,85.070900,1586486
2018-04-12,85.499100,86.295600,85.280000,85.379600,1679015
2018-04-13,85.678300,85.857500,84.692600,85.051000,1634028
2018-04-16,85.738000,86.425100,85.578700,85.887400,1644968
2018-04-17,86.225900,86.683900,85.937200,86.225900,1620799
2018-04-18,86.285700,87.072200,86.285700,86.614200,1848425
2018-04-19,86.275700,86.534600,85.608600,86.066600,1568415
2018-04-20,85.917300,86.435000,85.688300,85.917300,1730523
2018-04-23,86.056700,86.206000,85.329800,85.519000,1835613
2018-04-24,85.867500,86.365300,84.364000,84.812100,1783332
2018-04-25,84.871800,85.220300,84.344100,84.891700,1648887
2018-04-26,85.678300,86.803400,85.678300,86.385200,2899318
2018-04-27,86.285700,86.962700,86.146300,86.674000,2224977
2018-04-30,87.201700,87.689600,86.723800,86.723800,3487781
2018-05-01,86.733700,86.883100,85.270100,86.265700,3391903
2018-05-02,83.836300,84.901700,79.684300,79.853600,6576928
