Date,Open,High,Low,Close,Volume
2017-10-16,118.618000,118.856000,118.052600,118.528700,1352374
2017-10-17,118.687400,118.994800,117.824500,118.945200,845555
2017-10-18,119.133700,119.877500,118.885700,119.699000,878571
2017-10-19,119.907300,120.938700,119.183300,120.879200,1098127
2017-10-20,121.365200,121.818900,120.323800,121.345400,792749
2017-10-23,121.543700,122.803300,120.641200,120.700700,880431
2017-10-24,120.948700,121.107300,119.351900,120.214700,1325896
2017-10-25,120.006500,120.690800,118.945200,120.462700,1489967
2017-10-26,120.502400,120.988300,119.778400,120.006500,1186293
2017-10-27,121.037900,123.725700,120.016400,123.438100,1494615
2017-10-30,122.366900,122.872700,119.887400,120.353600,1588457
2017-10-31,120.720600,121.424200,119.892400,120.621400,1822879
2017-11-01,110.991100,116.163300,109.880300,114.145000,4569988
2017-11-02,113.956500,114.209500,110.376200,111.397700,3478298
2017-11-03,109.176100,110.088600,107.648800,108.352900,3918693
2017-11-06,108.422400,109.607600,108.055400,108.442200,2515318
2017-11-07,109.076900,109.076900,107.281800,107.827300,1279257
2017-11-08,107.658700,108.938100,107.143000,108.273600,1794121
2017-11-09,108.134700,110.941500,108.035600,110.921700,1654624
2017-11-10,110.366300,110.842300,108.670300,109.840600,973441
2017-11-13,109.176100,110.386100,108.977800,110.148100,1275595
2017-11-14,111.913500,112.042400,110.207600,111.288600,1308215
2017-11-15,111.050600,111.268800,109.434000,110.167900,1149971
2017-11-16,110.396000,112.022600,110.068700,111.318400,1631906
2017-11-17,110.584500,111.437400,110.584500,110.693600,1043296
2017-11-20,111.080400,111.754800,110.693600,111.258900,939004
2017-11-21,112.062200,113.381300,111.635800,112.627600,1118532
2017-11-22,112.597800,112.726700,111.536600,112.141600,785873
2017-11-24,112.022600,112.379600,111.159700,112.141600,289061
2017-11-27,112.478800,112.726700,111.715100,112.458900,830341
2017-11-28,112.458900,114.432600,111.447300,114.264000,1820426
2017-11-29,114.551600,115.781400,114.055700,115.563200,1756700
2017-11-30,115.751700,116.753400,115.052500,116.138500,1890606
2017-12-01,116.376500,116.703800,112.875500,113.629300,1487913
2017-12-04,114.115200,115.315300,113.649100,113.877200,1382970
2017-12-05,114.462400,115.151700,113.619300,114.541700,1261078
2017-12-06,114.234300,115.037600,113.708600,114.829300,917133
2017-12-07,114.948300,115.276600,113.559800,113.837500,960680
2017-12-08,112.449000,114.055700,111.725000,112.449000,1680560
2017-12-11,112.250700,113.133400,112.250700,112.578000,1144919
2017-12-12,112.607700,113.520200,112.458900,112.607700,1594403
2017-12-13,112.320100,113.589600,112.320100,112.587900,2815515
2017-12-14,112.716800,112.964800,111.873800,111.893600,1289909
2017-12-15,112.667200,114.680600,112.528400,114.293800,2158057
2017-12-18,114.938400,115.345100,113.361500,113.490400,1465546
2017-12-19,118.251000,123.150400,117.378200,120.383300,4417187
2017-12-20,120.839600,121.385000,119.629600,120.185000,1564865
2017-12-21,120.135400,120.889200,118.826200,118.965100,1087648
2017-12-22,118.796500,119.252700,118.647700,119.133700,714892
2017-12-26,119.183300,119.580000,118.836200,118.975000,372887
2017-12-27,119.014700,119.937000,118.856000,119.153500,831290
2017-12-28,119.431800,121.190800,118.527400,120.992000,991603
2017-12-29,120.992000,121.190800,119.869000,119.918700,1023624
2018-01-02,120.246700,123.496300,119.804400,123.287600,1765933
2018-01-03,123.933600,124.619300,123.178300,124.142300,1328947
2018-01-04,124.510000,125.921100,122.641700,123.963400,1073156
2018-01-05,124.112500,125.424200,123.538000,125.195700,1063390
2018-01-08,124.877700,125.921100,124.321100,125.434200,1250077
2018-01-09,125.931100,126.229200,123.277700,123.416800,1999172
2018-01-10,123.347300,123.625500,120.013100,121.767200,1956693
2018-01-11,122.005700,122.373400,120.440500,121.528600,1304778
2018-01-12,122.055300,122.274000,120.823100,121.339800,1014391
2018-01-16,121.558500,122.283900,120.336100,120.922400,1396586
2018-01-17,121.479000,122.065200,120.952300,121.727400,1168080
2018-01-18,121.657800,121.995700,120.793300,121.429300,1077740
2018-01-19,121.474000,123.913700,121.474000,122.711200,1804547
2018-01-22,122.731100,125.483900,122.124900,125.414300,1364081
2018-01-23,124.867700,125.165900,123.257800,123.734800,1225159
2018-01-24,124.271500,125.036700,123.496300,124.241600,1054136
2018-01-25,125.026700,125.026700,123.367100,123.963400,1038145
2018-01-26,123.983300,125.732300,123.257800,125.444100,1390852
2018-01-29,125.503700,128.532800,125.464000,126.596900,2537983
